"status","count","percent_of_total"
"Probation","10,975","36.61%"
"Probation - Compact","1,290","4.30%"
"Probation - Nonadjudicated","2,897","9.66%"
"Probation - Post Release","8,395","28.01%"
"PROBATION TOTAL","23,557","78.59%"
"Parole","2,922","9.75%"
"Parole - Compact","477","1.59%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","3,399","11.34%"
"Intensive Supervision Program - Court","994","3.32%"
"Intensive Supervision Program - Prison","184","0.61%"
"Earned Release Supervision","1,805","6.02%"
"Medical Release","36","0.12%"
"COMMUNITY INMATE TOTAL","3,019","10.07%"
"TOTAL","29,975","100.00%"
