"status","count","percent_of_total"
"Probation","5484","15.82%"
"Probation - Compact","1348","3.89%"
"Probation - Nonadjudicated","3424","9.88%"
"Probation - Post Release","14158","40.84%"
"TVC Probation","91","0.26%"
"PROBATION TOTAL","24505","70.69%"
"Parole","7989","23.05%"
"Parole - Compact","641","1.85%"
"Parole - Suspension","0","0.00%"
"TVC Parole","170","0.49%"
"PAROLE TOTAL","8800","25.39%"
"Intensive Supervision Program - Court","681","1.96%"
"Intensive Supervision Program - Prison","32","0.09%"
"Earned Release Supervision","625","1.80%"
"Medical Release","12","0.03%"
"FTR- Monitoring","6","0.02%"
"Conditional Release","3","0.009%"
"COMMUNITY INMATE TOTAL","1359","3.92%"
"TOTAL","34664","100.00%"
