"status","count","percent_of_total"
"Probation","10552","53.31%"
"Compact Probation","1052","5.31%"
"Nonadjudicated","1860","9.40%"
"Post Release","2108","10.65%"
"PROBATION TOTAL","15572","78.67%"
"Parole","1354","6.84%"
"Compact Parole","427","2.16%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1789","9.04%"
"Intensive Supervision Program - Court","1103","5.57%"
"Intensive Supervision Program - Prison","304","1.54%"
"Earned Release Supervision","1027","5.19%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2434","12.30%"
"TOTAL","19795","100.00%"
