"status","count","percent_of_total"
"Probation","5443","15.96%"
"Probation - Compact","1338","3.92%"
"Probation - Nonadjudicated","3287","9.64%"
"Probation - Post Release","13641","40.00%"
"TVC Probation","109","0.32%"
"PROBATION TOTAL","23818","69.84%"
"Parole","8132","23.84%"
"Parole - Compact","593","1.74%"
"Parole - Suspension","0","0.00%"
"TVC Parole","220","0.65%"
"PAROLE TOTAL","8945","26.23%"
"Intensive Supervision Program - Court","672","1.97%"
"Intensive Supervision Program - Prison","33","0.10%"
"Earned Release Supervision","614","1.80%"
"Medical Release","15","0.04%"
"FTR- Monitoring","5","0.01%"
"Conditional Release","3","0.009%"
"COMMUNITY INMATE TOTAL","1342","3.93%"
"TOTAL","34105","100.00%"
