"status","count","percent_of_total"
"Probation","8,916","20.24%"
"Probation - Compact","1,264","2.87%"
"Probation - Nonadjudicated","4,605","10.45%"
"Probation - Post Release","18,913","42.93%"
"TVC Probation","171","0.39%"
"PROBATION TOTAL","33,869","76.88%"
"Parole","7,819","17.75%"
"Parole - Compact","516","1.17%"
"Parole - Suspension","0","0.00%"
"TVC Parole","206","0.47%"
"PAROLE TOTAL","8,541","19.39%"
"Intensive Supervision Program - Court","705","1.60%"
"Intensive Supervision Program - Prison","85","0.19%"
"Earned Release Supervision","843","1.91%"
"Medical Release","13","0.03%"
"COMMUNITY INMATE TOTAL","1,646","6.69%"
"TOTAL","44,056","100.00%"
