"status","count","percent_of_total"
"Probation","16,632","63.17%"
"Compact Probation","1,057","4.01%"
"Nonadjudicated","996","3.78%"
"Post Release","2,466","9.37%"
"PROBATION TOTAL","21,151","80.33%"
"Parole","1,725","6.55%"
"Compact Parole","411","1.56%"
"Suspension","0","0.00%"
"PAROLE TOTAL","2,136","8.11%"
"Intensive Supervision Program - Court","950","3.61%"
"Intensive Supervision Program - Prison","385","1.46%"
"Earned Release Supervision","1,705","6.48%"
"Medical Release","3","0.01%"
"COMMUNITY INMATE TOTAL","3,043","11.56%"
"TOTAL","26,330","100.00%"
