"status","count","percent_of_total"
"Probation","16,390","64.55%"
"Compact Probation","1,083","4.26%"
"Nonadjudicated","871","3.43%"
"Post Release","2,278","8.97%"
"PROBATION TOTAL","20,622","81.21%"
"Parole","1,656","6.52%"
"Compact Parole","411","1.62%"
"Suspension","0","0.00%"
"PAROLE TOTAL","2,067","8.14%"
"Intensive Supervision Program - Court","909","3.58%"
"Intensive Supervision Program - Prison","361","1.42%"
"Earned Release Supervision","1,431","5.64%"
"Medical Release","3","0.01%"
"COMMUNITY INMATE TOTAL","2,704","10.65%"
"TOTAL","25,393","100.00%"
