"status","count","percent_of_total"
"Probation","5395","15.68%"
"Probation - Compact","1230","3.58%"
"Probation - Nonadjudicated","3326","9.67%"
"Probation - Post Release","14221","41.34%"
"TVC Probation","132","0.38%"
"PROBATION TOTAL","24304","70.65%"
"Parole","7853","22.83%"
"Parole - Compact","571","1.66%"
"Parole - Suspension","0","0.00%"
"TVC Parole","113","0.33%"
"PAROLE TOTAL","8537","24.82%"
"Intensive Supervision Program - Court","722","2.10%"
"Intensive Supervision Program - Prison","37","0.11%"
"Earned Release Supervision","674","1.96%"
"Medical Release","12","0.03%"
"FTR- Monitoring","6","0.02%"
"Transitional Housing","2","0.01%"
"RRP","105","0.31%"
"Conditional Release","3","0.009%"
"COMMUNITY INMATE TOTAL","1561","6.69%"
"TOTAL","34402","100.00%"
