"status","count","percent_of_total"
"Probation","5554","16.21%"
"Probation - Compact","1218","3.55%"
"Probation - Nonadjudicated","3475","10.14%"
"Probation - Post Release","14691","42.87%"
"TVC Probation","151","0.44%"
"PROBATION TOTAL","25089","73.21%"
"Parole","7187","20.97%"
"Parole - Compact","563","1.64%"
"Parole - Suspension","0","0.00%"
"TVC Parole","78","0.23%"
"PAROLE TOTAL","7828","22.84%"
"Intensive Supervision Program - Court","700","2.04%"
"Intensive Supervision Program - Prison","21","0.06%"
"Earned Release Supervision","555","1.62%"
"Medical Release","11","0.03%"
"FTR- Monitoring","4","0.01%"
"Transitional Housing","1","0.00%"
"RRP","61","0.18%"
"Conditional Release","2","0.006%"
"COMMUNITY INMATE TOTAL","1355","6.69%"
"TOTAL","34272","100.00%"
