"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","18778","35.03%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing, RRP, Failure to Report)","1467","2.74%"
"Other Custody","484",".90%"
"At Large (Escapees & Walk-Aways)","28",".05%"
"Off-Grounds Medical (Hospital)","14",".03%"
"INMATE TOTAL","20771","38.75%"
"PAROLEES","8100","15.11%"
"TVC Parole","113","0.21%"
"PROBATIONERS","24454","45.62%"
"TVC Probation","170","0.32%"
"PAROLEE AND PROBATIONER TOTAL","32837","61.25%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS ","53608","100.00%"
