"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","18676","34.95%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1430","2.68%"
"Other Custody","470",".88%"
"At Large (Escapees & Walk-Aways)","30",".06%"
"Off-Grounds Medical (Hospital)","11",".02%"
"INMATE TOTAL","20617","38.58%"
"PAROLEES","8438","15.79%"
"TVC Parole","108","0.20%"
"PROBATIONERS","24158","45.21%"
"TVC Probation","117","0.22%"
"PAROLEE AND PROBATIONER TOTAL","32821","61.42%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53438","100.00%"
