"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","18,574","28.31%"
"Community Corrections (ERS, ISP, Medical Release)","2,281","3.48%"
"Other Custody","528",".80%"
"At Large (Escapees & Walk-Aways)","27",".04%"
"Off-Grounds Medical (Hospital)","9",".01%"
"INMATE TOTAL","21,419","32.65%"
"PAROLEES","9,714","14.81%"
"TVC Parole","283","0.43%"
"PROBATIONERS","34,047","51.89%"
"TVC Probation","145","0.22%"
"PAROLEE AND PROBATIONER TOTAL","44,189","67.35%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","65,608","100.00%"
