"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19119","34.71%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1403","2.55%"
"Other Custody","500",".91%"
"At Large (Escapees & Walk-Aways)","24",".04%"
"Off-Grounds Medical (Hospital)","12",".02%"
"INMATE TOTAL","21058","38.23%"
"PAROLEES","9122","16.56%"
"TVC Parole","244","0.44%"
"PROBATIONERS","24551","44.57%"
"TVC Probation","112","0.20%"
"PAROLEE AND PROBATIONER TOTAL","34029","61.77%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","55087","100.00%"
