"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19042","35.08%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1340","2.47%"
"Other Custody","450",".83%"
"At Large (Escapees & Walk-Aways)","29",".05%"
"Off-Grounds Medical (Hospital)","12",".02%"
"INMATE TOTAL","20873","38.45%"
"PAROLEES","8826","16.26%"
"TVC Parole","145","0.27%"
"PROBATIONERS","24348","44.85%"
"TVC Probation","92","0.17%"
"PAROLEE AND PROBATIONER TOTAL","33411","61.55%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54284","100.00%"
