"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19008","35.05%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1325","2.44%"
"Other Custody","456",".84%"
"At Large (Escapees & Walk-Aways)","30",".06%"
"Off-Grounds Medical (Hospital)","6",".01%"
"INMATE TOTAL","20825","38.40%"
"PAROLEES","8753","16.14%"
"TVC Parole","166","0.31%"
"PROBATIONERS","24402","44.99%"
"TVC Probation","87","0.16%"
"PAROLEE AND PROBATIONER TOTAL","33408","61.60%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54233","100.00%"
