"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19258","35.59%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1400","2.59%"
"Other Custody","490",".91%"
"At Large (Escapees & Walk-Aways)","25",".05%"
"Off-Grounds Medical (Hospital)","10",".02%"
"INMATE TOTAL","21183","39.15%"
"PAROLEES","8778","16.22%"
"TVC Parole","315","0.58%"
"PROBATIONERS","23690","43.79%"
"TVC Probation","139","0.26%"
"PAROLEE AND PROBATIONER TOTAL","32922","60.85%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54105","100.00%"
