"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","18474","28.04%"
"Community Corrections (ERS, ISP, Medical Release)","1912","2.90%"
"Other Custody","529",".80%"
"At Large (Escapees & Walk-Aways)","27",".04%"
"Off-Grounds Medical (Hospital)","9",".01%"
"INMATE TOTAL","20951","31.80%"
"PAROLEES","9097","13.81%"
"TVC Parole","391","0.59%"
"PROBATIONERS","35295","53.57%"
"TVC Probation","151","0.23%"
"PAROLEE AND PROBATIONER TOTAL","44934","68.20%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","65885","100.00%"
