"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3276","15.70%"
"Central Mississippi Correctional Facility","3750","3429","16.44%"
"South Mississippi Correctional Institution","3082","2988","14.32%"
"Youthful Offender Facility","58","30","0.14%"
"County Jails - Approved","1781","666","3.19%"
"County Jails - Unapproved","0","397","1.90%"
"Community Work Centers","1154","687","3.29%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13415","11473","54.99%"
"Alcorn County Correctional Facility","300","258","1.24%"
"Bolivar County Correctional Facility","369","295","1.41%"
"Carroll County Correctional Facility","280","275","1.32%"
"Chickasaw County Correctional Facility","310","308","1.48%"
"George County Correctional Facility","280","279","1.34%"
"Holmes County Correctional Facility","280","222","1.06%"
"Issaquena County Correctional Facility","274","273","1.31%"
"Jefferson County Correctional Facility","280","278","1.33%"
"Kemper County Correctional Facility","355","349","1.67%"
"Leake County Correctional Facility","280","197","0.94%"
"Marion County Correctional Facility","280","243","1.16%"
"Stone County Correctional Facility","326","278","1.33%"
"Washington County Correctional Facility","300","234","1.12%"
"Winston County Correctional Facility","280","218","1.04%"
"Yazoo County Correctional Facility","300","238","1.14%"
"TOTAL REGIONAL FACILITIES","4494","3945","18.91%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1180","5.66%"
"Marshall County Correctional Facility","1000","997","4.78%"
"Walnut Grove Correctional Facility","1500","0","0.00%"
"Wilkinson County Correctional Facility","1000","895","4.29%"
"TOTAL PRIVATE PRISONS","5972","3072","14.73%"
"Community Trusties","0","41",".20%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","102",".49%"
"TVC","0","22",".11%"
"Transitional Housing","0","31","0.2%"
"Court Order","0","223","1.07%"
"RRP","0","103",".49%"
"TOTAL CAPACITY & CUSTODY POPULATION","23881","19012","91.13%"
"Intensive Supervision Program","0","713","3.42%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","625","3.00%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","12","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","1359","6.51%"
"Other Custody","0","455","2.18%"
"Off-Grounds Medical (Hospital)","0","6","0.03%"
"At Large (Escapees & Walk-Aways)","0","30","0.14%"
"TOTAL","23881","20862","100.00%"
