"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","5,551","5,376","40.44%"
"Central Mississippi Correctional Facility","3,049","3,073","23.12%"
"South Mississippi Correctional Institution","2,214","2,029","15.26%"
"County Jails - Approved*","2,135","1,496","11.25%"
"County Jails - Unapproved**","0","48","0.36%"
"Community Work Centers","1320","1,271","9.56%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,269","13,293","100.00%"
"Bolivar County Correctional Facility","250","0","0.00%"
"Carroll County Correctional Facility","250","203","9.84%"
"George County Correctional Facility","250","201","9.75%"
"Holmes County Correctional Facility","250","202","9.80%"
"Issaquena County Correctional Facility","250","201","9.75%"
"Jefferson County Correctional Facility","250","215","10.43%"
"Kemper County Correctional Facility","250","225","10.91%"
"Leake Correctional Facility","250","200","9.70%"
"Marion County Correctional Facility","250","209","10.14%"
"Stone County Correctional Facility","250","204","9.89%"
"Winston County Correctional Facility","250","202","9.80%"
"TOTAL REGIONAL FACILITIES","2,750","2,062","100.00%"
"Delta Correctional Facility","1,000","846","23.31%"
"East MS Correctional Facility","1,000","503","13.86%"
"Marshall County Correctional Facility","1,000","878","24.19%"
"Walnut Grove Correctional Facility","750","508","14.00%"
"Wilkinson County Correctional Facility","1,000","894","24.63%"
"TOTAL PRIVATE PRISONS","4,750","3,629","100.00%"
"Community Trusties","30","24","0.11%"
"Emergency Suspension","0","40","0.18%"
"Court Order","0","230","1.04%"
"TOTAL CAPACITY & CUSTODY POPULATION","21,799","19,278","87.27%"
"Intensive Supervision Program","0","1,433","6.49%"
"Earned Release Supervision Program","0","1,050","4.75%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2,483","11.24%"
"Other Custody","0","230","1.04%"
"University of MS Medical Center","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","89","0.40%"
"TOTAL","21,799","22,089","100.00%"
