"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4435","3624","28.00%"
"Central Mississippi Correctional Facility","3665","3226","24.93%"
"South Mississippi Correctional Institution","3204","3106","24.00%"
"County Jails - Approved*","1450","1051","8.12%"
"County Jails - Unapproved**","0","340","2.63%"
"Community Work Centers","1848","1594","12.32%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14602","12941","100.00%"
"Bolivar County Correctional Facility","294","233","9.23%"
"Carroll County Correctional Facility","280","225","8.91%"
"George County Correctional Facility","280","222","8.79%"
"Holmes County Correctional Facility","280","223","8.83%"
"Issaquena County Correctional Facility","274","220","8.71%"
"Jefferson County Correctional Facility","280","223","8.83%"
"Kemper County Correctional Facility","355","281","11.13%"
"Leake County Correctional Facility","280","224","8.87%"
"Marion County Correctional Facility","280","226","8.95%"
"Stone County Correctional Facility","280","225","8.91%"
"Winston County Correctional Facility","280","223","8.83%"
"TOTAL REGIONAL FACILITIES","3163","2525","100.00%"
"Delta Correctional Facility","972","901","17.01%"
"East MS Correctional Facility","1500","1348","25.45%"
"Marshall County Correctional Facility","1000","900","16.99%"
"Walnut Grove Correctional Facility","1500","1196","22.58%"
"Wilkinson County Correctional Facility","1000","952","17.97%"
"TOTAL PRIVATE PRISONS","5972","5297","100.00%"
"Community Trusties","2","14",".06%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","115",".47%"
"Court Order","0","252","1.03%"
"TOTAL CAPACITY & CUSTODY POPULATION","23759","21144","86.08%"
"Intensive Supervision Program","0","1506","6.13%"
"Earned Release Supervision Program","0","1465","5.96%"
"Medical Release","0","43",".18%"
"TOTAL COMMUNITY CORRECTIONS","0","3014","12.27%"
"Other Custody","0","353","1.44%"
"Off-Grounds Medical (Hospital)","0","11",".04%"
"At Large (Escapees & Walk-Aways)","0","42",".17%"
"TOTAL","23759","24564","100.00%"
