"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","5,551","5,380","39.99%"
"Central Mississippi Correctional Facility","3,099","3,034","22.55%"
"South Mississippi Correctional Institution","2,214","2,028","15.07%"
"County Jails - Approved*","2,113","1,588","11.80%"
"County Jails - Unapproved**","0","127","0.94%"
"Community Work Centers","1,350","1,298","9.65%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,327","13,455","100.00%"
"Bolivar County Correctional Facility","250","226","9.02%"
"Carroll County Correctional Facility","250","227","9.06%"
"George County Correctional Facility","250","228","9.10%"
"Holmes County Correctional Facility","250","235","9.38%"
"Issaquena County Correctional Facility","250","230","9.18%"
"Jefferson County Correctional Facility","250","227","9.06%"
"Kemper County Correctional Facility","250","227","9.06%"
"Leake Correctional Facility","250","226","9.02%"
"Marion County Correctional Facility","250","227","9.06%"
"Stone County Correctional Facility","250","228","9.10%"
"Winston County Correctional Facility","250","224","8.94%"
"TOTAL REGIONAL FACILITIES","2,750","2,505","100.00%"
"Delta Correctional Facility","0","0","0.00%"
"East MS Correctional Facility","1,000","725","21.15%"
"Marshall County Correctional Facility","1,000","999","29.14%"
"Walnut Grove Correctional Facility","750","721","21.03%"
"Wilkinson County Correctional Facility","1,000","983","28.68%"
"TOTAL PRIVATE PRISONS","3,750","3,428","100.00%"
"Community Trusties","30","17","0.08%"
"Emergency Suspension","0","13","0.06%"
"Court Order","0","245","1.09%"
"TOTAL CAPACITY & CUSTODY POPULATION","20,857","19,663","87.32%"
"Intensive Supervision Program","0","1,443","6.41%"
"Earned Release Supervision Program","0","1,106","4.91%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2,549","11.32%"
"Other Custody","0","217","0.96%"
"University of MS Medical Center","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","82","0.36%"
"TOTAL","20,857","22,518","100.00%"
