"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3356","3058","24.64%"
"Central Mississippi Correctional Facility","3449","3032","24.43%"
"South Mississippi Correctional Institution","3256","3198","25.77%"
"County Jails - Approved*","1616","1281","10.32%"
"County Jails - Unapproved**","0","340","2.74%"
"Community Work Centers","1848","1502","12.10%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13525","12411","100.00%"
"Alcorn County Correctional Facility","300","245","7.13%"
"Bolivar County Correctional Facility","294","232","6.75%"
"Carroll County Correctional Facility","280","223","6.49%"
"Chickasaw County Correctional Facility","300","250","7.27%"
"George County Correctional Facility","280","223","6.49%"
"Holmes County Correctional Facility","280","224","6.52%"
"Issaquena County Correctional Facility","274","220","6.40%"
"Jefferson County Correctional Facility","280","223","6.49%"
"Kemper County Correctional Facility","355","285","8.29%"
"Leake County Correctional Facility","280","224","6.52%"
"Marion County Correctional Facility","280","224","6.52%"
"Stone County Correctional Facility","280","223","6.49%"
"Washington County Correctional Facility","300","167","4.86%"
"Winston County Correctional Facility","280","224","6.52%"
"Yazoo County Correctional Facility","300","251","7.30%"
"TOTAL REGIONAL FACILITIES","4363","3438","100.00%"
"Delta Correctional Facility","972","899","17.42%"
"East MS Correctional Facility","1500","1352","26.20%"
"Marshall County Correctional Facility","1000","996","19.30%"
"Walnut Grove Correctional Facility","1500","1025","19.86%"
"Wilkinson County Correctional Facility","1000","889","17.23%"
"TOTAL PRIVATE PRISONS","5972","5161","100.00%"
"Community Trusties","22","16",".06%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","141",".56%"
"Court Order","0","321","1.28%"
"TOTAL CAPACITY & CUSTODY POPULATION","23882","21488","85.66%"
"Intensive Supervision Program","0","1596","6.36%"
"Earned Release Supervision Program","0","1514","6.04%"
"Medical Release","0","32",".13%"
"TOTAL COMMUNITY CORRECTIONS","0","3142","12.53%"
"Other Custody","0","409","1.63%"
"Off-Grounds Medical (Hospital)","0","8",".03%"
"At Large (Escapees & Walk-Aways)","00","37",".15%"
"TOTAL","23882","25084","100.00%"
