"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,648","3,331","26.99%"
"Central Mississippi Correctional Facility","3,557","2,901","23.51%"
"South Mississippi Correctional Institution","3,282","3,231","26.18%"
"Youthful Offender Facility","42","33","0.27%"
"County Jails - Approved*","1,832","1,427","11.56%"
"County Jails - Unapproved**","0","246","1.99%"
"Community Work Centers","1,848","1,173","9.50%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,209","12,342","100.00%"
"Alcorn County Correctional Facility","300","298","6.76%"
"Bolivar County Correctional Facility","369","367","8.33%"
"Carroll County Correctional Facility","280","280","6.35%"
"Chickasaw County Correctional Facility","300","300","6.81%"
"George County Correctional Facility","280","277","6.29%"
"Holmes County Correctional Facility","280","279","6.33%"
"Issaquena County Correctional Facility","274","271","6.15%"
"Jefferson County Correctional Facility","280","279","6.33%"
"Kemper County Correctional Facility","355","352","7.99%"
"Leake County Correctional Facility","280","275","6.24%"
"Marion County Correctional Facility","280","281","6.38%"
"Stone County Correctional Facility","280","279","6.33%"
"Washington County Correctional Facility","300","297","6.74%"
"Winston County Correctional Facility","280","276","6.26%"
"Yazoo County Correctional Facility","300","295","6.70%"
"TOTAL REGIONAL FACILITIES","4,438","4,406","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,202","27.36%"
"Marshall County Correctional Facility","1,000","995","22.65%"
"Walnut Grove Correctional Facility","1,500","1,314","29.91%"
"Wilkinson County Correctional Facility","1,000","882","20.08%"
"TOTAL PRIVATE PRISONS","5,972","4,393","100.00%"
"Community Trusties","22","12",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","66",".26%"
"Court Order","0","298","1.19%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,641","21,517","85.68%"
"Intensive Supervision Program","0","1,467","5.84%"
"Earned Release Supervision Program","0","1,586","6.32%"
"Medical Release","0","23",".09%"
"TOTAL COMMUNITY CORRECTIONS","0","3,076","12.25%"
"Other Custody","0","484","1.93%"
"Off-Grounds Medical (Hospital)","0000","6",".02%"
"At Large (Escapees & Walk-Aways)","0","31",".12%"
"TOTAL","25,641","25,114","100.00%"
