"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4534","4494","33.43%"
"Central Mississippi Correctional Facility","3381","3332","24.79%"
"South Mississippi Correctional Institution","2395","2301","17.12%"
"County Jails - Approved*","1786","1454","10.82%"
"County Jails - Unapproved**","0","107","0.80%"
"Community Work Centers","1816","1755","13.06%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13912","13443","100.00%"
"Bolivar County Correctional Facility","294","293","9.55%"
"Carroll County Correctional Facility","280","276","9.00%"
"George County Correctional Facility","280","279","9.10%"
"Holmes County Correctional Facility","280","280","9.13%"
"Issaquena County Correctional Facility","274","271","8.84%"
"Jefferson County Correctional Facility","274","273","8.90%"
"Kemper County Correctional Facility","280","279","9.10%"
"Leake County Correctional Facility","280","280","9.13%"
"Marion County Correctional Facility","280","279","9.10%"
"Stone County Correctional Facility","280","278","9.06%"
"Winston County Correctional Facility","280","279","9.10%"
"TOTAL REGIONAL FACILITIES","3082","3067","100.00%"
"Delta Correctional Facility","972","968","19.98%"
"East MS Correctional Facility","1000","856","17.67%"
"Marshall County Correctional Facility","1000","988","20.40%"
"Tallahatchie County Correctional Facility","128","128","2.64%"
"Walnut Grove Correctional Facility","1000","945","19.51%"
"Wilkinson County Correctional Facility","1000","959","19.80%"
"TOTAL PRIVATE PRISONS","5100","4844","100.00%"
"Community Trusties","022","18","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","93","0.37%"
"Court Order","0","259","1.02%"
"TOTAL CAPACITY & CUSTODY POPULATION","22116","21724","85.90%"
"Intensive Supervision Program","0","1509","5.97%"
"Earned Release Supervision Program","00","1640","6.49%"
"Medical Release","0","8","0.03%"
"TOTAL COMMUNITY CORRECTIONS","00","3157","12.48%"
"Other Custody","0","281","1.11%"
"Off-Grounds Medical (Hospital)","0","4","0.02%"
"At Large (Escapees & Walk-Aways)","0","123","0.49%"
"TOTAL","22116","25289","100.00%"
