"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3356","3101","24.70%"
"Central Mississippi Correctional Facility","3449","3185","25.37%"
"South Mississippi Correctional Institution","3204","3131","24.94%"
"County Jails - Approved*","1629","1335","10.63%"
"County Jails - Unapproved**","0","238","1.90%"
"Community Work Centers","1848","1563","12.45%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13486","12553","100.00%"
"Alcorn County Correctional Facility","300","259","7.84%"
"Bolivar County Correctional Facility","294","238","7.20%"
"Carroll County Correctional Facility","280","228","6.90%"
"Chickasaw County Correctional Facility","300","250","7.56%"
"George County Correctional Facility","280","223","6.75%"
"Holmes County Correctional Facility","280","225","6.81%"
"Issaquena County Correctional Facility","274","222","6.72%"
"Jefferson County Correctional Facility","280","224","6.78%"
"Kemper County Correctional Facility","355","283","8.56%"
"Leake County Correctional Facility","280","225","6.81%"
"Marion County Correctional Facility","280","224","6.78%"
"Stone County Correctional Facility","280","226","6.84%"
"Winston County Correctional Facility","280","225","6.81%"
"Yazoo County Correctional Facility","300","253","7.66%"
"TOTAL REGIONAL FACILITIES","4063","3305","92.16%"
"Delta Correctional Facility","972","904","17.55%"
"East MS Correctional Facility","1500","1357","26.34%"
"Marshall County Correctional Facility","1000","1002","19.45%"
"Walnut Grove Correctional Facility","1500","1003","19.47%"
"Wilkinson County Correctional Facility","1000","886","17.20%"
"TOTAL PRIVATE PRISONS","5972","5152","100.00%"
"Community Trusties","22","19",".08%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","72",".29%"
"Court Order","0","256","1.03%"
"TOTAL CAPACITY & CUSTODY POPULATION","23543","21357","86.06%"
"Intensive Supervision Program","0","1577","6.35%"
"Earned Release Supervision Program","00","1398","5.63%"
"Medical Release","0","36",".15%"
"TOTAL COMMUNITY CORRECTIONS","00","3011","12.13%"
"Other Custody","0","394","1.59%"
"Off-Grounds Medical (Hospital)","00","17",".07%"
"At Large (Escapees & Walk-Aways)","0","37",".15%"
"TOTAL","23543","24816","100.00%"
