"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3275","15.46%"
"Central Mississippi Correctional Facility","3750","3562","16.82%"
"South Mississippi Correctional Institution","3082","2659","12.55%"
"Youthful Offender Facility","58","33","0.16%"
"County Jails - Approved","1781","715","3.38%"
"County Jails - Unapproved","0","431","2.03%"
"Community Work Centers","1154","659","3.11%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13415","11334","53.51%"
"Alcorn County Correctional Facility","300","298","1.41%"
"Bolivar County Correctional Facility","369","292","1.38%"
"Carroll County Correctional Facility","280","276","1.30%"
"Chickasaw County Correctional Facility","310","308","1.45%"
"George County Correctional Facility","280","340","1.61%"
"Holmes County Correctional Facility","280","272","1.28%"
"Issaquena County Correctional Facility","274","274","1.29%"
"Jefferson County Correctional Facility","280","279","1.32%"
"Kemper County Correctional Facility","355","345","1.63%"
"Leake County Correctional Facility","280","274","1.29%"
"Marion County Correctional Facility","280","279","1.32%"
"Stone County Correctional Facility","326","279","1.32%"
"Washington County Correctional Facility","300","168","0.79%"
"Winston County Correctional Facility","280","269","1.27%"
"Yazoo County Correctional Facility","300","300","1.42%"
"TOTAL REGIONAL FACILITIES","4494","4253","20.08%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1248","5.89%"
"Marshall County Correctional Facility","1000","996","4.70%"
"Walnut Grove Correctional Facility","1500","0","0.00%"
"Wilkinson County Correctional Facility","1000","926","4.37%"
"TOTAL PRIVATE PRISONS","5972","3170","14.96%"
"Community Trusties","0","7",".03%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","87",".41%"
"TVC","0","71",".34%"
"Transitional Housing","0","29",".14%"
"Court Order","0","238","1.12%"
"RRP","0","69",".33%"
"TOTAL CAPACITY & CUSTODY POPULATION","23881","19258","90.91%"
"Intensive Supervision Program","0","795","3.75%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","581","2.74%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","15","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1400","6.61%"
"Other Custody","","490","2.31%"
"Off-Grounds Medical (Hospital)","","10","0.05%"
"At Large (Escapees & Walk-Aways)","0","25","0.12%"
"TOTAL","23881","21183","100.00%"
