"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5768","5708","40.86%"
"Central Mississippi Correctional Facility","3233","3098","22.18%"
"South Mississippi Correctional Institution","2214","2048","14.66%"
"County Jails - Approved*","2176","1494","10.70%"
"County Jails - Unapproved**","0","62","0.44%"
"Community Work Centers","1816","1558","11.15%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15207","13968","100.00%"
"Bolivar County Correctional Facility","250","248","9.02%"
"Carroll County Correctional Facility","250","252","9.16%"
"GeorgeCounty Correctional Facility","250","239","8.69%"
"Holmes County Correctional Facility","250","250","9.09%"
"Issaquena County Correctional Facility","250","252","9.16%"
"Jefferson County Correctional Facility","250","254","9.24%"
"Kemper County Correctional Facility","250","250","9.09%"
"Leake Correctional Facility","250","250","9.09%"
"Marion County Correctional Facility","250","255","9.27%"
"Stone County Correctional Facility","250","252","9.16%"
"Winston County Correctional Facility","250","248","9.02%"
"REGIONAL FACILITIES","2750","2750","100.00%"
"East MS Correctional Facility","1000","728","21.18%"
"Marshall County Correctional Facility","1000","995","28.94%"
"Walnut Grove Correctional Facility","750","751","21.84%"
"Wilkinson County Correctional Facility","1000","964","28.04%"
"TOTAL PRIVATE PRISONS","3750","3438","100.00%"
"Community Trusties","30","22","0.09%"
"Emergency Suspension","0","1","0.00%"
"Court Order","00","373","1.58%"
"TOTAL CAPACITY & CUSTODY POPULATION","21737","20551","87.28%"
"Intensive Supervision Program","0","1372","5.83%"
"Earned Release Supervision Program","0","1240","5.27%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2612","11.09%"
"Other Custody","0","230","0.98%"
"University of MS Medical Center","0","0","0.00%"
"At Large (Escapees & Walk-Aways)","0","153","0.65%"
"TOTAL","21737","23546","100.00%"
