"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3375","16.15%"
"Central Mississippi Correctional Facility","3882","3327","15.92%"
"South Mississippi Correctional Institution","3082","3054","14.61%"
"Youthful Offender Facility","58","27","0.13%"
"County Jails - Approved*","1781","689","3.30%"
"County Jails - Unapproved**","0","393","1.88%"
"Community Work Centers","1364","819","3.92%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13757","11684","55.91%"
"Alcorn County Correctional Facility","300","240","1.15%"
"Bolivar County Correctional Facility","369","294","1.41%"
"Carroll County Correctional Facility","280","264","1.26%"
"Chickasaw County Correctional Facility","310","287","1.37%"
"George County Correctional Facility","280","223","1.07%"
"Holmes County Correctional Facility","280","221","1.06%"
"Issaquena County Correctional Facility","274","270","1.29%"
"Jefferson County Correctional Facility","280","279","1.34%"
"Kemper County Correctional Facility","355","345","1.65%"
"Leake County Correctional Facility","280","195","0.93%"
"Marion County Correctional Facility","280","227","1.09%"
"Stone County Correctional Facility","326","267","1.28%"
"Washington County Correctional Facility","300","233","1.11%"
"Winston County Correctional Facility","280","223","1.07%"
"Yazoo County Correctional Facility","300","236","1.13%"
"TOTAL REGIONAL FACILITIES","4494","3804","18.20%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1163","5.57%"
"Marshall County Correctional Facility","1000","999","4.78%"
"Walnut Grove Correctional Facility","1500","0","0.00%"
"Wilkinson County Correctional Facility","1000","895","4.28%"
"TOTAL PRIVATE PRISONS","5972","3057","14.63%"
"Community Trusties","16","48",".23%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","114",".55%"
"TVC","0","2",".01%"
"Court Order","0","266","1.27%"
"TOTAL CAPACITY & CUSTODY POPULATION","24223","18975","90.80%"
"Intensive Supervision Program","0","727","3.48%"
"Earned Release Supervision Program","0","565","2.70%"
"Transitional Housing","0","1","0.00%"
"Failure to Register-Monitoring","0","5","0.02%"
"Conditional Release","0","2","0.01%"
"RRP","0","76","0.36%"
"Medical Release","0","10","0.05%"
"TOTAL COMMUNITY CORRECTIONS","0","1386","6.63%"
"Other Custody","0","498","2.38%"
"Off-Grounds Medical (Hospital)","0","11","0.05%"
"At Large (Escapees & Walk-Aways)","0","28","0.13%"
"TOTAL","24223","20898","100.00%"
