"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5768","5685","40.20%"
"Central Mississippi Correctional Facility","3233","3174","22.44%"
"South Mississippi Correctional Institution","2214","2163","15.29%"
"County Jails - Approved*","2176","1608","11.37%"
"County Jails - Unapproved**","0","105","0.74%"
"Community Work Centers","1816","1407","9.95%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15207","14142","100.00%"
"Bolivar County Correctional Facility","250","236","9.09%"
"Carroll County Correctional Facility","250","235","9.05%"
"GeorgeCounty Correctional Facility","250","237","9.13%"
"Holmes County Correctional Facility","250","236","9.09%"
"Issaquena County Correctional Facility","250","237","9.13%"
"Jefferson County Correctional Facility","250","238","9.17%"
"Kemper County Correctional Facility","250","237","9.13%"
"Leake Correctional Facility","250","234","9.01%"
"Marion County Correctional Facility","250","235","9.05%"
"Stone County Correctional Facility","250","236","9.09%"
"Winston County Correctional Facility","250","235","9.05%"
"REGIONAL FACILITIES","2750","2596","100.00%"
"East MS Correctional Facility","1000","680","19.98%"
"Marshall County Correctional Facility","1000","1007","29.59%"
"Walnut Grove Correctional Facility","750","721","21.19%"
"Wilkinson County Correctional Facility","1000","995","29.24%"
"TOTAL PRIVATE PRISONS","3750","3403","100.00%"
"Community Trusties","30","25","0.11%"
"Emergency Suspension","0","43","0.18%"
"Court Order","0","325","1.38%"
"TOTAL CAPACITY & CUSTODY POPULATION","21737","20534","87.48%"
"Intensive Supervision Program","0","1390","5.92%"
"Earned Release Supervision Program","0","1206","5.14%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2596","11.06%"
"Other Custody","0","184","0.78%"
"University of MS Medical Center","0","6","0.03%"
"At Large (Escapees & Walk-Aways)","0","153","0.65%"
"TOTAL","21737","23473","100.00%"
