county,name,position,address,phone,fax,email,alt_phone,alt_address
Adams, Joe Murray,County Administrator,"314 State St., Natchez 39120",(601) 445-7934,,,,,
Alcorn,Greg Younger,County Administrator,"P.O. Box 69, Corinth 38835",(662) 286-7702,,,,,
Bolivar,Will Hooker,County Administrator,"P.O. Box 698, Cleveland 38732-0698",(662) 846-5877,,,,,
Claiborne,Brenda T. Buck,County Administrator,"P.O Box 689, Port Gibson 39150",(601) 437-5216,,,,,
Clarke,Steven Myrick,County Administrator,"P.O. Box 616, Quitman 39355",(601) 776-1012,,,,,
Coahoma,Daniel Vassel,County Administrator,"P.O. Box 579, Clarksdale 38614",(662) 624-3028,,,,,
Copiah,Ronnie Barlow,County Administrator,"P.O. Box 551, Hazlehurst 39083",(601) 894-1858,,,,,
DeSoto,Vanessa Lynchard,County Administrator,"365 Losher St., Hernando 38632",(662) 469-8180,,,,,
Forrest,Betty Carlisle,County Administrator,"P.O. Box 1310, Hattiesburg 39403",(601) 545-6000,,,,,
Hancock,Eddie Favre,County Administrator,"845 Hwy. 90, Ste. A, Bay St. Louis 39520",(228) 466-4736,,,,,
Humphreys,Tommy Goodwin,County Administrator,"P.O. Box 547, Belzoni 39038",(662) 247-1740,,,,,
Itawamba,Gary M. Franks,County Administrator,"106 S. Clifton St., Fulton 38843",(662) 862-4967,,,,,
Jackson,Brian Fulton,County Administrator,"P.O. Box 998, Pascagoula 39568",(228) 769-3089,,,,,
Jefferson,Walter Houston,County Administrator,"P.O. Box 145, Fayette 39069",(601) 786-3021,,,,,
Kemper,Yolanda Cook,County Administrator,"P.O. Box 188, DeKalb 39328",(601) 743-4477,,,,,
Lafayette,Lisa Carwile,County Administrator,"300 N. Lamar, Oxford 38655",(662) 236-2717,,,,,
Lamar,Jody Waits,County Administrator,"P.O. Box 1240, Purvis 39475",(601) 794-3406,,,,,
Lauderdale,Chris Lafferty,County Administrator,"410 Constitution Ave., 11th Floor, Meridian 39301",(601) 482-9751,,,,,
Leake,Robert Gill Jr.,County Administrator,"P.O. Box 595, Carthage 39051",(601) 267-8002,,,,,
Lee,Sean P. Thompson,County Administrator,"P.O. Box 1785, Tupelo 38802",(662) 432-2020,,,,,
Lincoln,David Fields,County Administrator,"301 S. First St., Rm. 202, Brookhaven 39601",(601) 853-3421,,,,,
Lowndes,Ralph Billingsley,County Administrator,"P.O. Box 1364, Columbus 39703",(662) 329-5896,,,,,
Madison,Shelton Vance,County Administrator,"P.O. Box 608, Canton 39046",(601) 855-5500,,,,,
Marshall,Larry Hall,County Administrator,"P.O. Box 219, Holly Springs 38634",(662) 252-9067,,,,,
Monroe,Evan Adams,County Administrator,"P.O. Box 578, Aberdeen 39730",(662) 319-5995,,,,,
Montgomery,Ryan Wood,County Administrator,"P.O. Box 71, Winona 38967",(662) 283-2333,,,,,
Neshoba,Jeff Mayo,County Administrator,"401 E. Beacon St., Ste. 201, Philadelphia 39350",(601) 656-6281,,,,,
Newton,Steve Seale,County Administrator,"P.O. Box 68, Decatur 39327",(601) 635-4878,,,,,
Oktibbeha,Emily Garrard,County Administrator,"108 W. Main St., Starkville 39759",(662) 323-1520,,,,,
Panola,Kelley Magee,County Administrator,"P.O. Box 807, Batesville 38606",(662) 563-6200,,,,,
Pearl River, Adrian Lumpkin,County Administrator,"P.O. Box 569, Poplarville 39470",(601) 403-2302,,,,,
Pike,Daniel Calcote,County Administrator,"P.O. Box 431, Magnolia 39652",(601) 783-5289,,,,,
Sharkey,Murindia Williams,County Administrator,"P.O. Box 218, Rolling Fork 39159",(662) 873-2755,,,,,
Simpson,Rhuel Dickinson,County Administrator,"P.O. Box 308, Mendenhall 39114",(601) 847-1418,,,,,
Smith,Rita McDonald,County Administrator,"P.O. Box 160, Raleigh 39153-0160",(601) 782-4000,,,,,
Stone,Gerald W. Bond,County Administrator,"P.O. Drawer 7, Wiggins 39577",(601) 928-5266,,,,,
Tallahatchie,Randy Wolfe,County Administrator,"P.O. Box 350, Charleston 38921",(662) 647-8985,,,,,
Tate,Rufus Warren,County Administrator,"910 E. F. Hale Dr., Senatobia 38668",(662) 562-4647,,,,,
Tippah,Melinda Crum,County Administrator,"101 E. Spring St., Ripley 38663",(662) 837-1026,,,,,
Tunica,Adrian McKay,County Administrator,"1058 S. Court St., P.O. Box 639, Tunica 38676",(662) 363-1465,,,,,
Washington,Vicki Uppal,County Administrator,"P.O. Box 158, Greenville 38702",(662) 334-2735,,,,,
Yazoo,Donna Kraft,County Administrator,"211 E. Broadway, Yazoo City 39194",(662) 746-8668,,,,,
Hinds,Carmen Y. Davis,County Administrator,"P.O. Box 686, Jackson 39205",(601) 968-6501,,,,,
