county,name,position,address,phone,fax,email,alt_phone,alt_address
Adams,John Barrett Martin,County Prosecuting Attorney ,"P.O. Box 1603, Natchez 39121",(601) 442-7954,,,,
Alcorn,Bob Moore ,County Prosecuting Attorney ,"P.O. Box 1990, Corinth 38835 ",(662) 286-7739,,,,
Amite,Sara Hemphill ,County Prosecuting Attorney ,"P.O. Box 43, Liberty 39645 ",(601) 657-4801,,,,
Attala,Doug Crosby ,County Prosecuting Attorney ,"241 N. Madison, Kosciusko 39090 ",(662) 289-0800,,,,
Benton,Bart Adams,County Prosecuting Attorney ,"108 Jefferson St., Ripley 38663 ",(662) 837-9976,,,,
Bolivar,Aelicia L. Thomas,County Prosecuting Attorney ,"P.O. Box 912, Rosedale 38769",(662) 843-3777,,,,
Calhoun,Tina Dugard Scott ,County Prosecuting Attorney ,"P.O. Box 1545, Calhoun City 38916 ",(662) 628-5440,,,,
Carroll,Lori M. Bell ,County Prosecuting Attorney ,"P.O. Box 623, Carrollton 38917 ",(662) 237-1117,,,,
Chickasaw,Gene Barton ,County Prosecuting Attorney ,"P.O. Box 147, Okolona 38860 ",(662) 456-4201,,,,
Choctaw,Kevin Null ,County Prosecuting Attorney ,"P.O. Box 756, Ackerman 39735 ",(662) 285-3880,,,,
Claiborne,Michael Keyton,County Prosecuting Attorney ,"P.O. Box 694, Port Gibson 39150 ",(601) 437-3322,,,,
Clarke,Edward N. Kramer III,County Prosecuting Attorney ,"P.O. Box 46, Quitman 39355 ",(601) 776-5399,,,,
Clay,Michelle D. Easterling,County Prosecuting Attorney ,"P.O. Box 835, West Point 39773",(662) 494-5184,,,,
Coahoma,John M. Sherman ,County Prosecuting Attorney ,"203 Court Street, Clarksdale 38614 ",(662) 627-5310,,,,
Copiah,Elise B. Munn,County Prosecuting Attorney ,"P.O. Drawer 768, Hazlehurst 39083 ",(601) 894-4150,,,,
Covington,John Alan Buffington ,County Prosecuting Attorney ,"P.O. Box 477, Prentiss 39471",(601) 792-4554,,,,
DeSoto,Craig Treadway ,County Prosecuting Attorney ,"P.O. Box 681, Olive Branch 38654 ",(662) 469-8817,,,,
Forrest,Pamela Luckie Castle ,County Prosecuting Attorney ,"P.O. Box 2037, Hattiesburg 39403",(601) 544-4333,,,,
Franklin,Mary K. Williamson ,County Prosecuting Attorney ,"P.O. Box 188, Meadville 39653",(601) 384-2343,,,,
George,Joey Griffin ,County Prosecuting Attorney ,"368 Cox St., Lucedale 39452 ",(601)  508-0509,,,,
Greene,Lee Turner ,County Prosecuting Attorney ,"P.O. Box 1492, Leakesville 39451 ",(601) 394-5008,,,,
Grenada,Adam Kirk ,County Prosecuting Attorney ,"P.O. Box 901, Grenada 38902-0901 ",(662) 226-1891,,,,
Hancock,Olen Anderson,County Prosecuting Attorney ,"8450 Hwy. 90, Bay St. Louis 39520 ",(228) 255-5808,,,,
Harrison,Herman Cox,County Prosecuting Attorney ,"P.O. Box 1754, Gulfport 39502",(228) 865-4255,,,,
Hinds,Martin Perkins (Interim) ,County Prosecuting Attorney ,"P.O. Box 483, Jackson 39205 ",(601) 948-5030,,,,
Holmes,Charles Edwards ,County Prosecuting Attorney ,"P.O. Box 956, Lexington 39095",(662) 843-9029,,,,
Humphreys,Noel D. Crook ,County Prosecuting Attorney ,"P.O. Box 342, Belzoni 39038",(662) 247-4013,,,,
Issaquena,Charles Weissinger ,County Prosecuting Attorney ,"P.O. Box 215, Rolling Fork 39159",(662) 873-6258,,,,
Itawamba,Michael P. Mills Jr. ,County Prosecuting Attorney ,"100 A W. Main St., Fulton 38843 ",(662) 862-5855,,,,
Jackson,Mark H. Watts ,County Prosecuting Attorney ,"P.O. Drawer 1499, Pascagoula 39568",(228) 762-2373,,,,
Jasper,Joseph T. (JoJo) Sims,County Prosecuting Attorney ,"P.O. Box 361, Bay Springs 39422 ",(601) 784-4497,,,,
Jefferson,Jeffery Harness ,County Prosecuting Attorney ,"P.O. Box 758, Fayette 39069",(601) 702-1947,,,,
Jefferson Davis,Alan Buffington,County Prosecuting Attorney ,"P.O. Box 1137, Prentiss 39474",(601) 792-4204,,,,
Jones,M. Wayne Thompson ,County Prosecuting Attorney ,"P.O. Box 6509, Laurel 39441 ",(601) 426-0056,,,,
Kemper,Marvin Wiggins ,County Prosecuting Attorney ,"P.O. Box 188, DeKalb 39328 ",(601) 743-4290,,,,
Lafayette,Bela J. Chain III,County Prosecuting Attorney ,"P.O. Box 913, Oxford 38655 ",(662) 234-1667,,,,
Lamar,Joseph Parker ,County Prosecuting Attorney ,"P.O. Box 1762 , Purvis 39475",(601) 794-2683,,,,
Lauderdale,Justin M. Cobb,County Prosecuting Attorney ,"P.O. Box 5633, Meridian 39302 ",(601) 693-1933,,,,
Lawrence,Damond Ready ,County Prosecuting Attorney ,"P.O. Box 958, Monticello 39654 ",(601) 587-0029,,,,
Leake,Carmen Wright ,County Prosecuting Attorney ,"P.O. Box 436, Carthage 39051",(601) 267-8061,,,,
Lee,James D. Moore,County Prosecuting Attorney ,"P.O. Box 911, Tupelo 38802",(662) 840-8141,,,,
Leflore,Richard A. Oakes,County Prosecuting Attorney ,"P.O. Drawer 1640, Greenwood 38935",(662) 453-7373,,,,
Lincoln,W. Brady Kellems ,County Prosecuting Attorney ,"P.O. Box 1406, Brookhaven 39602 ",(601) 835-2900,,,,
Lowndes,Allison Pritchard Kizer,County Prosecuting Attorney ,"P.O. Box 291, Columbus 39703 ",(662) 329-4474,,,,
Madison,Pamela Hancock ,County Prosecuting Attorney ,"2961 South Liberty St., Canton 39046 ",(601) 855-5735,,,,
Marion,Scott Phillips ,County Prosecuting Attorney ,"326-A 2nd Street, Columbia 39429 ",(601) 736-9301,,,,
Marshall,Shirley C. Byers. ,County Prosecuting Attorney ,"P.O. Box 5008, Holly Springs 38634",(662) 252-6530,,,,
Monroe,Candace Cooper Blalock,County Prosecuting Attorney ,"P.O. Box 81, Aberdeen 39730",(662) 368-8691,,,,
Montgomery,J. Lane Greenlee ,County Prosecuting Attorney ,"P.O. Box 430, Winona 38967",(662) 283-1354,,,,
Neshoba,Caleb E. May,County Prosecuting Attorney ,"P.O. Box 388, Philadelphia 39350",(601) 656-4830,,,,
Newton,J. Douglas Smith ,County Prosecuting Attorney ,"P.O. Box 567, Decatur 39327",(601) 635-4444,,,,
Noxubee,Ricky D. Walker,County Prosecuting Attorney ,"P.O. Box 427, Macon 39341 ",(662) 726-5977,,,,
Oktibbeha,Haley M. Brown,County Prosecuting Attorney ,"P.O. Box 1859, Starkville 39760",(662) 546-0861,,,,
Panola,C. Gaines Baker,County Prosecuting Attorney ,"136 Public Sq., Ste. 1, Batesville 38606",(662) 563-9385,,,,
Pearl River,Aaron L. Russell Jr. ,County Prosecuting Attorney ,"P.O. Box 476, Picayune 39466",(601) 403-2332,,,,
Perry,Paul D. Walley,County Prosecuting Attorney ,"P.O. Box 183, New Augusta 39462 ",(601) 964-7878,,,,
Pike,David L. Brewer ,County Prosecuting Attorney ,"249 Louisiana Ave., McComb 39648",(601) 551-4905,,,,
Pontotoc,Malcolm McAuley,County Prosecuting Attorney ,"P.O. Box 878, Pontotoc 38863",(662) 489-1551,,,,
Prentiss,Allison A. Worley ,County Prosecuting Attorney ,"P.O. Box 430, Booneville 38829 ",(662) 720-1141,,,,
Quitman,Jimmy Miller ,County Prosecuting Attorney ,"P.O. Box 209, Marks 38646-0209 ",(662) 326-4223,,,,
Rankin,Richard H. Wilson ,County Prosecuting Attorney ,"117 N. Timber St., Brandon 39042 ",(601) 824-2590,,,,
Scott,Tanya Carl ,County Prosecuting Attorney ,"P.O. Box 57, Forest 39074 ",(601) 469-0112,,,,
Sharkey,Charles Weissinger ,County Prosecuting Attorney ,"P.O. Box 215, Rolling Fork 39159",(662) 873-6258,,,,
Simpson,Wesley Broadhead,County Prosecuting Attorney ,"P.O. Box 446, Mendenhall 39114 ",(601) 847-2056,,,,
Smith,Wendell James ,County Prosecuting Attorney ,"P.O. Box 861, Raleigh 39153 ",(601) 452-5055,,,,
Stone,Thomas M. Matthews III,County Prosecuting Attorney ,"P.O. Box 270, Wiggins 39577 ",(601) 528-6028,,,,
Sunflower,Gary Austin,County Prosecuting Attorney ,"P.O. Box 1590, Indianola 38751 ",(662) 887-5398,,,,
Tallahatchie,Carol Turner,County Prosecuting Attorney ,"P.O. Box 185, Charleston 38957 ",(662) 647-8929,,,,
Tate,Ginger Miller ,County Prosecuting Attorney ,"201 Ward St., Senatobia 38668",(662) 562-7626,,,,
Tippah,Bart Adams,County Prosecuting Attorney ,"108 Jefferson St., Ripley 38663 ",(662) 837-9976,,,,
Tishomingo,Phillip Whitehead ,County Prosecuting Attorney ,"1008 Battleground Dr., Iuka 38852 ",(662) 423-7033,,,,
Tunica,Charles B. Graves Jr. ,County Prosecuting Attorney ,"P.O. Box 1413, Tunica 38676 ",(662) 363-3100,,,,
Union,Joe Marshall Davis ,County Prosecuting Attorney ,"P.O. Drawer 29, New Albany 38652 ",(662) 534-6421,,,,
Walthall,Mark R. Holmes ,County Prosecuting Attorney ,"P.O. Drawer 1128, McComb 39649 ",(601) 249-3112,,,,
Warren,W. Richard Johnson ,County Prosecuting Attorney ,"1100 Clay St., Vicksburg 39180 ",(601) 529-9343,,,,
Washington,Eric Hawkins ,County Prosecuting Attorney ,"249 S. Poplar St., Greenville 38701",(662) 335-2102,,,,
Wayne,Curtis Bates ,County Prosecuting Attorney ,"801-C Station St., Waynesboro 39367",(601) 735-7006,,,,
Webster,Jan R. Butler,County Prosecuting Attorney ,"P.O. Drawer 888, Eupora 39744 ",(662) 258-7275,,,,
Wilkinson,Holmes Sturgeon ,County Prosecuting Attorney ,"P.O. Box 1175, Woodville 39669 ",(601) 888-6152,,,,
Winston,Kiley C. Kirk,County Prosecuting Attorney ,"P.O. Box 387, Louisville 39339 ",(662) 773-6687,,,,
Yalobusha,Gail Barton,County Prosecuting Attorney ,"P.O. Box 95, Oakland 38948 ",(662) 623-0043,,,,
Yazoo,Richard J. Rohman ,County Prosecuting Attorney ,"P.O. Box 151, Yazoo City 39194 ",(662) 746-2211,,,,
