"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,297","1","1,025","0","10","0","1","0","4","0","0","0","3,338"
"CMCF","1,427","454","737","507","17","5","3","2","4","0","0","0","3,156"
"SMCI","2,111","0","1,049","0","44","0","4","0","11","0","0","0","3,219"
"Youthful Offender","22","0","3","0","1","0","0","0","0","0","0","0","26"
"County Jails (approved)","879","46","539","64","4","0","2","0","6","0","0","0","1,540"
"County Jails (unapproved)","210","20","135","27","3","0","0","0","2","0","0","0","397"
"Private Prisons","3,223","0","1,058","0","26","0","2","0","5","0","0","0","4,314"
"Regional Correctional Facilities","2,747","139","1,254","162","36","2","2","1","8","0","0","0","4,351"
"Community Work Centers","822","76","447","172","2","0","1","0","1","0","1","0","1,522"
"Community Trusties","8","0","4","0","0","0","0","0","0","0","0","0","12"
"Pending File Review","32","0","28","5","1","1","0","0","0","0","0","0","67"
"Court Order","196","9","105","26","1","0","1","0","1","0","0","0","339"
"","13,974","745","0","963","145","8","16","3","42","0","1","0","22,281"
"Intensive Supervison Program","618","161","503","263","5","1","4","0","4","2","4","1","1,566"
"Earned Release Supervision","1,006","81","436","92","5","0","1","0","3","0","0","0","1,624"
"Medical Release","18","1","6","2","0","0","0","0","0","0","0","0","27"
"Other Custody","223","10","160","26","47","5","0","1","2","0","4","0","478"
"At Large","21","0","8","2","3","0","0","0","0","0","0","0","34"
"Off-Grounds Medical (Hospital)","7","0","2","2","0","0","0","0","0","0","0","0","11"
"TOTAL","15,867","998","1,115","1,350","205","14","21","4","51","2","9","1","26,021"
"% OF TOTAL OFFENDERS","60.98%","3.84%","4.29%","5.19%",".79%",".05%",".08%",".02%",".20%",".01%",".03%",".00%","100.00%"
