"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,227","0","1,015","0","21","0","2","0","4","0","0","0","3,269"
"CMCF","1,027","355","631","450","16","4","3","3","2","2","0","0","2,493"
"SMCI","1,788","0","910","0","27","0","2","0","5","0","0","0","2,732"
"County Jails (approved)","407","15","257","43","3","0","3","0","1","0","1","0","730"
"County Jails (unapproved)","160","7","128","11","0","0","0","0","0","0","0","0","306"
"Youthful Offender Facility","26","0","2","0","1","0","0","0","0","0","0","0","29"
"Private Prisons","2,829","0","1,063","0","25","0","9","0","6","0","0","0","3,932"
"Regional Correctional Facilities","2,520","114","1,151","114","39","3","4","0","10","0","1","0","3,956"
"Community Work Centers","501","45","279","109","0","2","1","0","3","0","1","0","941"
"Community Trusties","11","0","1","0","0","0","2","0","2","0","0","0","16"
"Pending File Review","48","5","28","9","0","0","0","0","1","0","0","0","91"
"Court Order","149","4","86","16","0","0","0","0","1","0","0","0","256"
"","11,693","545","5,551","752","132","9","26","3","35","2","3","0","18,751"
"Intensive Supervison Program","341","97","238","123","4","3","1","1","2","0","0","0","810"
"Earned Release Supervision","535","64","193","38","3","0","0","0","1","0","0","0","834"
"Medical Release","6","0","4","2","0","0","0","0","0","0","0","0","12"
"Other Custody","233","12","203","25","41","4","2","1","3","3","0","0","527"
"At Large","15","0","6","2","3","0","0","0","0","0","0","0","26"
"Off-Grounds Medical (Hospital)","6","0","3","0","0","0","1","0","0","0","0","0","10"
"Conditional Release","0","0","1","1","0","0","0","0","0","0","0","0","2"
"TOTAL","12,829","718","6,199","943","183","16","30","5","41","5","3","0","20,972"
"% OF TOTAL OFFENDERS","61.17%","3.42%","29.56%","4.50%",".87%",".08%",".14%",".02%",".20%",".02%",".01%",".00%","100.00%"
