"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,312","0","1,055","1","13","0","3","0","3","0","0","0","3,387"
"CMCF","1,480","455","843","519","15","3","7","2","1","0","0","0","3,325"
"SMCI","2,163","0","1,026","0","44","0","2","0","0","9","0","0","3,244"
"County Jails (approved)","847","39","510","53","7","0","3","1","5","0","0","0","1,465"
"County Jails (unapproved)","193","15","122","28","3","2","1","0","0","0","0","0","364"
"Youthful Offender Facility","25","0","10","0","1","0","0","0","0","0","0","0","36"
"Private Prisons","3,292","0","1,076","0","28","0","4","0","7","0","0","0","4,407"
"Regional Correctional Facilities","2,814","138","1,265","153","40","1","2","1","7","0","0","0","4,421"
"Community Work Centers","800","74","425","160","1","0","1","0","4","0","1","0","1,466"
"Community Trusties","7","0","7","0","0","0","0","0","0","0","0","0","14"
"Pending File Review","24","4","15","9","2","0","0","0","0","0","0","0","54"
"Court Order","192","8","110","22","0","0","","0","3","0","0","0","335"
"","14,149","733","6,464","945","154","6","23","4","30","9","1","0","22,518"
"Intensive Supervison Program","653","182","474","254","4","3","3","0","3","2","4","2","1,584"
"Earned Release Supervision","999","78","431","103","6","1","3","0","2","0","0","0","1,623"
"Medical Release","16","1","5","2","0","0","0","0","0","0","0","0","24"
"Other Custody","224","11","163","27","46","5","0","1","3","0","4","0","484"
"At Large","19","0","8","2","3","0","0","0","0","0","0","0","32"
"Off-Grounds Medical (Hospital)","2","1","4","2","0","0","0","0","0","0","0","0","9"
"TOTAL","16,062","1,006","7,549","1,335","213","15","29","5","38","11","9","2","26,274"
"% OF TOTAL OFFENDERS","61.13%","3.83%","28.73%","5.08%",".81%",".06%",".11%",".02%",".14%",".04%",".03%",".01%","100.00%"
