"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,221","0","1,002","0","15","0","2","0","3","0","0","0","3,243"
"CMCF","1,283","398","766","486","19","5","3","1","1","1","0","0","2,963"
"SMCI","2,110","0","991","0","35","0","6","0","4","0","0","0","3,146"
"County Jails (approved)","813","50","430","75","4","1","2","0","1","0","1","0","1,377"
"County Jails (unapproved)","246","13","127","23","5","0","0","0","1","0","0","0","415"
"Private Prisons","3,087","0","1,041","0","24","0","3","0","8","0","0","0","4,163"
"Regional Correctional Facilities","2,724","126","1,200","165","40","0","1","1","5","1","2","0","4,265"
"Community Work Centers","780","53","376","120","6","1","3","1","4","1","0","0","1,345"
"Community Trusties","9","0","4","0","0","0","0","0","0","0","0","0","13"
"Pending File Review","69","9","34","18","1","0","0","0","0","0","0","0","131"
"Court Order","206","8","115","15","0","1","0","0","2","0","0","0","347"
"CUSTODY POPULATION","13,548","657","6,086","902","149","8","20","3","29","3","3","0","21,408"
"Intensive Supervison Program","620","168","561","265","7","2","3","1","2","0","3","0","1,632"
"Earned Release Supervision","1,041","90","418","81","6","1","2","0","1","0","0","0","1,640"
"Medical Release","14","3","4","1","0","0","0","0","0","0","0","0","22"
"Other Custody","198","9","141","21","47","4","1","1","3","0","5","0","430"
"At Large","22","0","11","2","3","0","0","0","0","0","0","0","38"
"Off-Grounds Medical (Hospital)","8","0","8","1","0","0","0","0","0","0","0","0","17"
"TOTAL","15,451","927","7,229","1,273","212","15","26","5","35","3","11","0","25,187"
"% OF TOTAL OFFENDERS","61.35%","3.68%","28.70%","5.05%",".84%",".06%",".10%",".02%",".14%",".01%",".04%",".00%","100.00%"
