"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2269","0","928","0","23","0","2","0","9","0","1","0","3232"
"CMCF","1534","393","1091","566","29","6","5","2","8","1","0","1","3636"
"SMCI","1649","0","958","0","31","0","2","0","5","0","0","0","2645"
"County Jails (approved)","363","0","340","6","8","0","0","0","2","0","1","0","720"
"County Jails (unapproved)","127","8","95","17","1","0","0","0","1","0","2","1","252"
"Youthful Offender Facility","21","0","2","0","0","0","0","0","0","0","0","0","23"
"Private Prisons","2270","0","871","0","18","0","8","0","2","0","0","0","3169"
"Regional Correctional Facilities","2652","54","1401","112","56","3","9","0","12","0","0","0","4299"
"Community Work Centers","275","26","178","117","2","0","1","2","3","0","0","0","604"
"Community Trusties","8","0","1","0","0","0","0","0","0","0","0","0","9"
"TVC","57","0","24","0","0","0","0","0","0","0","0","0","81"
"Transitional Housing","10","1","10","6","0","0","0","0","0","0","0","0","27"
"Pending File Review","25","2","24","3","0","0","0","0","2","0","1","0","57"
"RRP","22","3","19","19","0","1","0","0","0","0","0","0","64"
"Court Order","114","5","114","12","0","0","0","0","0","0","0","0","245"
"","11396","492","6056","858","168","10","27","4","44","1","5","2","19063"
"Intensive Supervison Program","355","69","265","127","3","0","0","0","0","2","1","0","822"
"Earned Release Supervision","406","30","121","25","1","2","0","1","2","0","0","0","588"
"Medical Release","5","0","9","1","0","0","0","0","0","0","0","0","15"
"Other Custody","243","6","180","21","26","0","0","0","2","0","1","0","479"
"At Large","14","0","5","2","3","0","0","0","0","0","0","0","24"
"Conditional Release","1","0","0","1","0","0","0","0","0","0","0","0","2"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","9","0","9","1","0","0","0","0","0","0","0","0","19"
"TOTAL","12431","597","6649","1036","201","12","27","5","48","3","7","2","21018"
"percent_of_total","59.14%","2.84%","31.63%","4.93%",".96%",".06%",".13%",".02%",".23%",".01%",".03%",".01%","100.00%"
