"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2,148","0","984","1","18","0","4","0","4","0","0","0","3,159"
"CMCF","1,293","506","758","618","17","7","2","3","3","1","0","1","3,209"
"SMCI","2,094","0","1,017","0","41","0","6","0","4","0","0","0","3,162"
"County Jails (approved)","708","56","412","99","2","0","3","0","0","0","0","0","1,280"
"County Jails (unapproved)","161","5","108","7","4","0","0","0","1","0","1","0","287"
"Private Prisons","3,843","0","1,215","0","32","0","6","0","3","0","0","0","5,099"
"Regional Correctional Facilities","1,968","27","932","33","31","0","2","0","6","0","2","0","3,001"
"Community Work Centers","870","52","432","136","7","0","1","0","3","0","0","0","1,501"
"Community Trusties","8","0","4","0","0","0","0","0","0","0","0","0","12"
"Pending File Review","52","7","35","9","1","0","0","0","0","0","0","0","104"
"Court Order","154","8","95","17","1","0","0","0","2","0","0","0","277"
"","13,299","661","5,992","920","154","7","24","3","26","1","3","1","21,091"
"Intensive Supervison Program","633","155","580","243","9","0","4","1","6","1","3","0","1,635"
"Earned Release Supervision","943","74","381","61","6","1","0","0","2","0","0","0","1,468"
"Medical Release","21","5","8","3","0","0","0","0","0","0","0","0","37"
"Other Custody","181","8","128","17","40","4","1","1","1","0","6","0","387"
"At Large","22","0","11","2","3","0","0","0","0","0","0","0","38"
"Off-Grounds Medical (Hospital)","4","2","6","0","0","0","0","0","0","0","0","0","12"
"TOTAL","15,103","905","7,106","1,246","212","12","29","5","35","2","12","1","24,668"
"percent_of_total","61.23%","3.67%","28.81%","5.05%",".86%",".05%",".12%",".02%",".14%",".01%",".05%",".00%","100.00%"
