"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2,815","1","1,094","1","29","0","1","0","7","0","0","0","3,948"
"CMCF","1,378","812","752","685","24","8","1","1","2","2","1","0","3,666"
"SMCI","2,067","0","980","0","45","0","3","0","10","0","0","0","3,105"
"County Jails (approved)","731","89","401","112","13","2","1","0","0","0","1","0","1,350"
"County Jails (unapproved)","111","4","73","14","1","0","0","0","0","0","3","1","207"
"Private Prisons","4,056","0","1,269","0","26","0","7","0","5","0","3","0","5,366"
"Regional Correctional Facilities","2,193","0","851","0","19","0","3","0","3","0","0","0","3,069"
"Community Work Centers","1,032","105","472","133","11","0","4","1","0","0","0","0","1,758"
"Community Trusties","15","0","6","0","0","0","0","0","0","0","0","0","21"
"Pending File Review","72","15","40","19","1","0","0","0","0","0","0","0","147"
"Court Order","197","13","115","20","2","0","0","1","2","0","0","0","350"
"","14,667","1,039","6,053","984","171","10","20","3","29","2","8","1","22,987"
"Intensive Supervison Program","467","146","421","165","9","1","3","1","3","4","4","2","1,226"
"Earned Release Supervision","1,132","117","514","80","6","1","0","0","0","2","0","0","1,852"
"Medical Release","20","3","13","1","0","0","0","0","0","0","0","0","37"
"Other Custody","129","9","117","14","40","3","0","0","3","0","5","1","321"
"At Large","35","2","16","2","3","0","0","0","0","0","0","0","58"
"Off-Grounds Medical (Hospital)","2","0","1","0","0","0","0","0","0","0","0","0","3"
"TOTAL","16,452","1,316","7,135","1,246","229","15","23","4","35","8","17","4","26,484"
"% OF TOTAL_offenses","62.12%","4.97%","26.94%","4.70%","0.86%","0.06%","0.09%","0.02%","0.13%","0.03%","0.06%","0.02%","100.00%"
