"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2706","2","1053","1","20","0","2","0","3","0","1","0","3788"
"CMCF","1322","572","723","616","19","7","1","2","4","1","1","0","3268"
"SMCI","1996","0","1063","0","46","0","3","0","3","0","0","0","3111"
"County Jails (approved)","572","60","314","63","5","1","0","0","0","0","1","0","1016"
"County Jails (unapproved)","155","9","95","7","0","0","0","0","0","0","3","0","269"
"Private Prisons","3849","0","1315","0","32","0","6","0","5","0","1","0","5208"
"Regional Correctional Facilities","1684","34","745","24","25","0","5","0","7","0","2","0","2526"
"Community Work Centers","1023","74","453","145","7","4","2","2","0","1","0","0","1711"
"Community Trusties","14","0","5","0","0","0","0","0","0","0","0","0","19"
"Pending File Review","54","14","37","20","1","0","0","0","1","0","0","0","127"
"Court Order","124","10","67","9","0","0","0","0","0","0","0","0","210"
"","13499","775","5870","885","155","12","19","4","23","2","9","0","21253"
"Intensive Supervison Program","614","159","495","230","11","0","3","1","2","0","1","0","1516"
"Earned Release Supervision","949","72","357","49","4","1","1","0","2","0","0","0","1435"
"Medical Release","20","7","11","2","0","0","0","0","0","0","0","0","40"
"Other Custody","156","10","120","15","39","3","1","1","2","0","4","0","351"
"At Large","25","0","13","2","3","0","0","0","0","0","0","0","43"
"Off-Grounds Medical (Hospital)","6","0","1","1","0","0","0","0","0","0","0","0","8"
"TOTAL","15269","1023","6867","1184","212","16","24","6","29","2","14","0","24646"
"% OF TOTAL_offenses","61.95%","4.15%","27.86%","4.80%","0.86%","0.06%","0.10%","0.02%","0.12%","0.01%","0.06%","0.00%","100.00%"
