"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2941","2","1093","0","30","0","1","0","6","0","0","0","4073"
"CMCF","1370","806","722","666","18","7","3","2","1","2","0","1","3598"
"SMCI","2077","0","941","0","49","0","3","0","9","0","1","0","3080"
"County Jails (approved)","823","103","470","119","17","1","1","0","1","0","3","1","1539"
"County Jails (unapproved)","178","19","104","21","3","0","0","0","0","0","3","0","328"
"Private Prisons","3728","0","1227","0","30","0","6","0","7","0","3","0","5001"
"Regional Correctional Facilities","2204","0","850","0","18","0","2","0","4","0","0","0","3078"
"Community Work Centers","1063","105","478","135","11","0","4","1","2","0","0","0","1799"
"Community Trusties","13","0","7","0","0","0","0","0","0","0","0","0","20"
"Pending File Review","37","8","25","13","0","0","0","0","0","0","0","0","83"
"Court Order","203","12","99","24","1","0","0","0","0","0","0","0","339"
"","14637","1055","6016","978","177","8","20","3","30","2","10","2","22938"
"Intensive Supervison Program","463","133","417","167","11","1","3","1","3","4","4","4","1211"
"Earned Release Supervision","1139","116","499","79","5","1","0","0","0","2","0","0","1841"
"Medical Release","17","3","14","0","0","0","0","0","0","0","0","0","34"
"Other Custody","127","8","116","12","38","3","0","0","3","0","4","1","312"
"At Large","36","2","15","2","3","0","0","0","0","0","0","0","58"
"Off-Grounds Medical (Hospital)","3","0","1","1","0","0","0","0","0","0","0","0","5"
"TOTAL","16422","1317","7078","1239","234","13","23","4","36","8","18","7","26399"
"% OF TOTAL_offenses","62.21%","4.99%","26.81%","4.69%","0.89%","0.05%","0.09%","0.02%","0.14%","0.03%","0.07%","0.03%","100.00%"
