"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2231","0","1038","0","16","0","1","0","4","0","0","0","3290"
"CMCF","1391","420","749","508","17","5","3","3","2","1","0","0","3099"
"SMCI","2117","0","1019","0","49","0","3","0","5","0","0","0","3193"
"County Jails (approved)","705","37","430","68","6","0","2","0","1","0","3","1","1253"
"County Jails (unapproved)","301","11","194","16","6","1","0","0","1","0","1","0","531"
"Private Prisons","3223","0","1048","0","20","0","4","0","7","0","0","0","4302"
"Regional Correctional Facilities","2770","133","1242","165","36","1","2","0","7","0","2","0","4358"
"Community Work Centers","858","76","499","161","3","2","1","0","3","0","0","0","1603"
"Community Trusties","9","0","2","0","0","0","0","0","0","0","0","0","11"
"Pending File Review","51","2","32","5","1","0","0","0","0","0","0","0","91"
"Court Order","158","11","98","30","2","0","0","0","1","0","0","0","300"
"CUSTODY POPULATION","13814","690","6351","953","156","9","16","3","31","1","6","1","22031"
"Intensive Supervison Program","618","161","561","261","7","1","4","0","0","0","3","1","1617"
"Earned Release Supervision","996","85","439","77","5","0","0","0","2","1","0","0","1605"
"Medical Release","15","1","5","1","0","0","0","0","0","0","0","0","22"
"Other Custody","201","10","158","22","43","5","0","1","2","0","4","0","446"
"At Large","22","0","9","2","3","0","0","0","0","0","0","0","36"
"Off-Grounds Medical (Hospital)","5","1","7","1","0","0","0","0","0","0","0","0","14"
"TOTAL","15671","948","7530","1317","214","15","20","4","35","2","13","2","25771"
"percent_of_total","60.81%","3.68%","29.22%","5.11%",".83%",".06%",".08%",".02%",".14%",".01%",".05%",".01%","100.00%"
