county,position,name,address,phone,fax,alt_address,alt_phone,alt_fax,mobile,email,source,verified
Adams,County Administrator,Joe Murray,"314 State St., Natchez 39120",(601) 445-7934,(601) 304-8088,,,,,,2016-2020 Blue Book,
Alcorn,County Administrator,Greg Younger,"P.O. Box 69, Corinth 38835",(662) 286-7702,(662) 286-7706,,,,,,2016-2020 Blue Book,
Bolivar,County Administrator,Will Hooker,"P.O. Box 698, Cleveland 38732-0698",(662) 846-5877,(662) 846-5880,,,,,,2016-2020 Blue Book,
Claiborne,County Administrator,Brenda T. Buck,"P.O Box 689, Port Gibson 39150",(601) 437-5216,(601) 437-4430,,,,,,2016-2020 Blue Book,
Clarke,County Administrator,Steven Myrick,"P.O. Box 616, Quitman 39355",(601) 776-1012,(601) 776-1013,,,,,,2016-2020 Blue Book,
Coahoma,County Administrator,Daniel Vassel,"P.O. Box 579, Clarksdale 38614",(662) 624-3028,(662) 624-3029,,,,,,2016-2020 Blue Book,
Copiah,County Administrator,Ronnie Barlow," P.O. Box 551, Hazlehurst 39083",(601) 894-1858,(601) 894-1908,,,,,,2016-2020 Blue Book,
Desoto,County Administrator,Vanessa Lynchard," 365 Losher St., Hernando 38632",(662) 469-8180,(662) 469-8181,,,,,,2016-2020 Blue Book,
Forrest,County Administrator,Betty Carlisle," P.O. Box 1310, Hattiesburg 39403",(601) 545-6000,(601) 582-5135,,,,,,2016-2020 Blue Book,
Hancock,County Administrator,Eddie Favre," 845 Hwy. 90, Ste. A, Bay St. Louis 39520",(228) 466-4736,(228) 467-2691,,,,,,2016-2020 Blue Book,
Hinds,County Administrator,Carmen Y. Davis,"P.O. Box 686, Jackson 39205",(601) 968-6501,,,,,,,2016-2020 Blue Book,
Humphreys,County Administrator,Tommy Goodwin,"P.O. Box 547, Belzoni 39038",(662) 247-1740,(662) 247-0101,,,,,,2016-2020 Blue Book,
Itawamba,County Administrator,Gary M. Franks," 106 S. Clifton St., Fulton 38843",(662) 862-4967,,,,,,,2016-2020 Blue Book,
Jackson,County Administrator,Brian Fulton,"P.O. Box 998, Pascagoula 39568",(228) 769-3089,(228) 769-3348,,,,,,2016-2020 Blue Book,
Jefferson,County Administrator,Walter Houston,"P.O. Box 145, Fayette 39069",(601) 786-3021,(601) 786-6009,,,,,,2016-2020 Blue Book,
Jones,County Administrator,Danielle Ashley,"P.O. Box 1468, Laurel 39441",(601) 649-1280,(601) 428-3602,,,,,,2016-2020 Blue Book,
Kemper,County Administrator,Yolanda Cook,"P.O. Box 188, DeKalb 39328",(601) 743-4477,(601) 743-2677,,,,,,2016-2020 Blue Book,
Lafayette,County Administrator,Lisa Carwile,"300 N. Lamar, Oxford 38655",(662) 236-2717,(662) 234-5402,,,,,,2016-2020 Blue Book,
Lamar,County Administrator,Jody Waits," P.O. Box 1240, Purvis 39475",(601) 794-3406,(601) 794-1049,,,,,,2016-2020 Blue Book,
Lauderdale,County Administrator,Chris Lafferty,"410 Constitution Ave., 11th Fl., Meridian 39301",(601) 482-9751,(601) 482-9744,,,,,,2016-2020 Blue Book,
Leake,County Administrator,Robert Gill Jr," P.O. Box 595, Carthage 39051",(601) 267-8002,(601) 267-6132,,,,,,2016-2020 Blue Book,
