county,position,name,address,phone,fax,alt_address,alt_phone,alt_fax,mobile,email,source,verified
Adams,District Attorney,Ronnie Harper,"307 Market St., Natchez 39120",(601) 445-4099,(601) 445-7947,,,,,,2016-2020 Blue Book,
Alcorn,District Attorney,John Weddle,"P.O. Box 7237, Tupelo 38802",(662) 432-2800,(662) 432-2831,,,,,,2016-2020 Blue Book,
Amite,District Attorney,Ronnie Harper,"307 Market St., Natchez 39120",(601) 445-4099,(601) 445-7947,,,,,,2016-2020 Blue Book,
Attala,District Attorney,Doug Evans," P.O. Box 1262, Grenada 38902-1262",(662) 226-8545,(662) 227-9558,,,,,,2016-2020 Blue Book,
Benton,District Attorney,Ben Creekmore," 1301 Monroe Avenue, Oxford 38655",(662) 234-3304,(662) 234-0299,,,,,,2016-2020 Blue Book,
Bolivar,District Attorney,Brenda F. Mitchell," P.O. Box 848, Cleveland 38732",(662) 843-8000,(662) 846-1711,,,,,,2016-2020 Blue Book,
Calhoun,District Attorney,Ben Creekmore,"1301 Monroe Avenue, Oxford 38655",(662) 234-3304,(662) 234-0299,,,,,,2016-2020 Blue Book,
Carroll,District Attorney,Doug Evans,"P.O. Box 1262, Grenada 38902-1262",(662) 226-8545,(662) 227-9558,,,,,,2016-2020 Blue Book,
Chickasaw,District Attorney,Ben Creekmore,"1301 Monroe Avenue, Oxford 38655",(662) 234-3304,(662) 234-0299,,,,,,2016-2020 Blue Book,
Choctaw,District Attorney,Doug Evans,"P.O. Box 1262, Grenada 38902-1262",(662) 226-8545,(662) 227-9558,,,,,,2016-2020 Blue Book,
Claiborne,District Attorney,Alexander C. Martin," P.O. Drawer 767, Hazlehurst 39083",(601) 894-5040,(601) 894-9080,,,,,,2016-2020 Blue Book,
Clarke,District Attorney,E. J. (Bilbo) Mitchell," P.O. Box 5163, Meridian 39302",(601) 482-9757,(601) 483-0085,,,,,,2016-2020 Blue Book,
Clay,District Attorney,Scott Colom,"P.O. Box 1044, Columbus 39703",(662) 329-5911,(662) 327-1854,,,,,,2016-2020 Blue Book,
Coahoma,District Attorney,Brenda F. Mitchell,"P.O. Box 848, Cleveland 38732",(662) 843-8000,(662) 846-1711,,,,,,2016-2020 Blue Book,
Copiah,District Attorney,Alexander C. Martin,"P.O. Drawer 767, Hazlehurst 39083",(601) 894-5040,(601) 894-9080,,,,,,2016-2020 Blue Book,
Covington,District Attorney,Matt Sullivan,"100 Court Ave., Ste. 4, Mendenhall 39114",(601) 847-1342,(601) 847-3428,,,,,,2016-2020 Blue Book,
Desoto,District Attorney,John W. Champion," 365 Losher St., Ste. 210, Hernando 38632..(662) 469-8014   f(662) 469-8231",,,,,,,,2016-2020 Blue Book,
Forrest,District Attorney,Patricia Burchell," P.O. Box 166, Hattiesburg 39403-0166",(601) 545-1551,(601) 545-6097,,,,,,2016-2020 Blue Book,
Franklin,District Attorney,Ronnie Harper,"307 Market St., Natchez 39120",(601) 445-4099,(601) 445-7947,,,,,,2016-2020 Blue Book,
George,District Attorney,Anthony (Tony) Lawrence III,"P.O. Box 1756, Pascagoula 39568-1756",(228) 769-3045,(228) 769-3345,,,,,,2016-2020 Blue Book,
Greene,District Attorney,Anthony (Tony) Lawrence III,"P.O. Box 1756, Pascagoula 39568-1756..(228) 769-3045",f(228) 769-3345,(228) 769-3345,,,,,,2016-2020 Blue Book,
Grenada,District Attorney,Doug Evans,"P.O. Box 1262, Grenada 38902-1262",(662) 226-8545,(662) 227-9558,,,,,,2016-2020 Blue Book,
Hancock,District Attorney,Joel Smith,"P.O. Drawer 1180, Gulfport 39502",(228) 865-4003,(228) 865-4239,,,,,,2016-2020 Blue Book,
