county,position,name,address,phone,fax,alt_address,alt_phone,alt_fax,mobile,email,source,verified
Adams,Constable (ND),Willie Jones,"P.O. Box 1048, Natchez 39121",(601) 442-0199,,,,,,,2016-2020 Blue Book,
Adams,Constable (SD),Adam Kirk,"P.O. Box 1048, Natchez 39121",(601) 442-0199,,,,,,,2016-2020 Blue Book,
Alcorn,Constable (Post 1),Johnny Butler,"P.O. Box 226, Corinth 38834",(662) 286-7776,,,,,,,2016-2020 Blue Book,
Alcorn,Constable (Post 2),Wayne Duncan,"P.O. Box 226, Corinth 38834",(662) 286-7776,,,,,,,2016-2020 Blue Book,
Amite,Constable (D-1),Murry Toney,"P.O. Box 362, Liberty 39645",(601) 684-7712,,,,,,,2016-2020 Blue Book,
Amite,Constable (D-2),Jerry (Bruce) Bates," 4433 Spears Rd., Liberty 39645",(601) 657-8343,,,,,,,2016-2020 Blue Book,
Attala,Constable (ED),Terry Ray," 112 W. Adams St., Kosciusko 39090",(662) 289-5556,,,,,,,2016-2020 Blue Book,
Attala,Constable (WD),Willie Roby," 112 W. Adams St., Kosciusko 39090",(662) 289-5556,,,,,,,2016-2020 Blue Book,
Benton,Constable (ND),James Williams," 978 Wilburn Rd., Michigan City 38647",(662) 224-6320,(662) 224-6307,,,,,,2016-2020 Blue Book,
Benton,Constable (SD),Robert Dickerson," P.O. Box 218, Ashland 38603",(662) 333-6600,(662) 224-6313,,,,,,2016-2020 Blue Book,
Bolivar,Constable (D-1),Samuel K. Tolliver Sr," P.O. Box 1507, Cleveland 38732",(662) 843-4008,(662) 846-6783,,,,,,2016-2020 Blue Book,
Bolivar,Constable (D-2),Joe Lee Bassie,"P.O. Box 1507, Cleveland 38732",(662) 843-4008,(662) 846-6783,,,,,,2016-2020 Blue Book,
Bolivar,Constable (D-3),Billy Trotter,"P.O. Box 1507, Cleveland 38732",(662) 843-4008,(662) 846-6783,,,,,,2016-2020 Blue Book,
Calhoun,Constable (Post 1),Jay Vanlandingham," P.O. Box 7, Pittsboro 38951",(662) 412-3135,,,,,,,2016-2020 Blue Book,
Calhoun,Constable (Post 2),Benny Langford,"P.O. Box 7, Pittsboro 38951",(662) 412-3135,,,,,,,2016-2020 Blue Book,
Carroll,Constable (D-1), Joe W. Holman,"P.O. Box 215, North Carrollton 38947",(662) 299-5222,,,,,,,2016-2020 Blue Book,
Carroll,Constable (D-2),Rob Banks,"P.O. Box 251, Vaiden 39176",(662) 897-2795,(662) 464-8824,,,,,,2016-2020 Blue Book,
Chickasaw,Constable (D-1),Billy Voyles,"1 Pinson Square, Houston 38851",(662) 454-3941,(662) 448-8122,,,,,,2016-2020 Blue Book,
Chickasaw,Constable (D-2),Unshay Randle,"234 W. Main St., Rm. 207, Okolona 38860.. (662) 447-3402",f(662) 447-5020,(662) 447-5020,,,,,,2016-2020 Blue Book,
Choctaw,Constable (Post 1),Thomas Raybourn,"1040 Bright Rd., Ackerman 39735",(662) 285-3599,(662) 285-9039,,,,,,2016-2020 Blue Book,
Choctaw,Constable (Post 2),Chris Coleman,"P.O. Box 1308, Ackerman 39735",(662) 285-3599,(662) 285-9039,,,,,,2016-2020 Blue Book,
Claiborne,Constable (ED),David Flowers Jr,"P.O. Box 497, Port Gibson 39150",(601) 437-4478,(601) 437-3833,,,,,,2016-2020 Blue Book,
Claiborne,Constable (WD),Roosevelt Dotson Sr.," P.O. Box 497, Port Gibson 39150",(601) 437-4478,(601) 437-3833,,,,,,2016-2020 Blue Book,
Clarke,Constable (Place 1),Beverly Trotter,"122 Loretta Dr., Quitman 39355",(601) 776-5371,(601) 776-1014,,,,,,2016-2020 Blue Book,
Clarke,Constable (Place 2),Ryan Evans,"P.O. Box 266, Quitman 39355",(601) 616-7597,(601) 776-1014,,,,,,2016-2020 Blue Book,
Clay,Constable (D-1),Sherman Ivy,"P.O. Box 674, West Point 39773",(662) 494-2051,(662) 494-4034,,,,,,2016-2020 Blue Book,
Clay,Constable (D-2),Lewis Stafford,"P.O. Box 674, West Point 39773",(662) 495-2051,(662) 494-4034,,,,,,2016-2020 Blue Book,
Coahoma,Constable (ND),Johnny R. Rybolt III," 144 Ritch St., Clarksdale 38614",(662) 624-3060,,,,,,,2016-2020 Blue Book,
Coahoma,Constable (SD),Floyd Williams,"144 Ritch St., Clarksdale 38614",(662) 624-3060,,,,,,,2016-2020 Blue Book,
Copiah,Constable (Post 1),Jimmy Dale White," P.O. Box 798, Hazlehurst 39083",(601) 894-3218,(601) 894-1676,,,,,,2016-2020 Blue Book,
Copiah,Constable (Post 2),Ronnie Earls," P.O. Box 798, Hazlehurst 39083",(601) 894-3218,(601) 894-1676,,,,,,2016-2020 Blue Book,
Covington,Constable (ND),Andy Graham,"P.O. Box 665, Collins 39428",(601) 765-6581,(601) 765-5014,,,,,,2016-2020 Blue Book,
Covington,Constable (SD),Roger Dickens,"P.O. Box 665, Collins 39428",(601) 765-6581,(601) 765-5014,,,,,,2016-2020 Blue Book,
Desoto,Constable (D-1),Lawrence Vaughn Jr," 8525 Hwy. 51 N., Southaven 38671",(662) 469-8026,(662) 469-8825,,,,,,2016-2020 Blue Book,
Desoto,Constable (D-2),Josh Wilson," 8525 Hwy. 51 N., Southaven 38671",(662) 469-8026,(662) 469-8825,,,,,,2016-2020 Blue Book,
Desoto,Constable (D-3),Keith Combes," 8525 Hwy. 51 N., Southaven 38671",(662) 469-8026,(662) 393-5859,,,,,,2016-2020 Blue Book,
Desoto,Constable (D-4),Bobby Holloway," 8525 Hwy. 51 N., Southaven 38671",(662) 469-8026,(662) 393-5859,,,,,,2016-2020 Blue Book,
Desoto,Constable (D-5),Lee Hodge," 8525 Hwy. 51 N., Southaven 38671",(662) 469-8026,(662) 393-5859,,,,,,2016-2020 Blue Book,
Forrest,Constable (D-1),Mike Harris," 700 Main St., Hattiesburg 39401",(601) 544-3136,(601) 545-6114,,,,,,2016-2020 Blue Book,
Forrest,Constable (D-2),John R. Klem," 700 Main St., Hattiesburg 39401",(601) 544-3136,(601) 545-6114,,,,,,2016-2020 Blue Book,
Forrest,Constable (D-3),Jennifer Brown-Travis," 700 Main St., Hattiesburg 39401",(601) 544-3136,(601) 545-6114,,,,,,2016-2020 Blue Book,
Forrest,Constable (D-4),Tommy Cook," 700 Main St., Hattiesburg 39401",(601) 544-3136,(601) 545-6114,,,,,,2016-2020 Blue Book,
Franklin,Constable (D-1),Charles E. Brown,"P.O. Box 365, Meadville 39653",(601) 384-2002,(601) 384-2253,,,,,,2016-2020 Blue Book,
Franklin,Constable (D-2),Tommy A. Myers,"P.O. Box 365, Meadville 39653",(601) 384-2002,(601) 384-2253,,,,,,2016-2020 Blue Book,
George,Constable (D-1),Glen Ecroyd," 2226 Fig Farm Rd., Lucedale 39452",(601) 947-5314,,,,,,,2016-2020 Blue Book,
George,Constable (D-2),Stacy Dungan," 167 B Hempstead Rd., Lucedale 39452",(601) 508-9799,,,,,,,2016-2020 Blue Book,
Greene,Constable (Post 1),Ryan Walley,"P.O. Box 547, Leakesville 39451",(601) 394-2347,,,,,,,2016-2020 Blue Book,
Greene,Constable (Post 2),Shannon Busby,"P.O. Box 547, Leakesville 39451",(601) 394-2347,,,,,,,2016-2020 Blue Book,
Grenada,Constable (D-1),Alex Farmer,"16 First St., Grenada 38901",(662) 226-3331,(662) 227-5513,,,,,,2016-2020 Blue Book,
Grenada,Constable (D-2),Jimmy Malone,"16 First St., Grenada 38901",(662) 226-3331,(662) 227-5513,,,,,,2016-2020 Blue Book,
Hancock,Constable (Place 1),Terry Necaise,"8450 Hwy. 90, Bay St. Louis 39520",(228) 467-5573,,,,,,,2016-2020 Blue Book,
Hancock,Constable (Place 2),Ray Seal Jr,"8450 Hwy. 90, Bay St. Louis 39520",(228) 467-5573,,,,,,,2016-2020 Blue Book,
Hancock,Constable (Place 3),Theresa C. Beeson,"8450 Hwy. 90, Bay St. Louis 39520",(228) 467-5573,,,,,,,2016-2020 Blue Book,
Harrison,Constable (D-1),James B. Morgan," 190 Lameuse St., Biloxi 39530",(228) 435-8256,,,,,,,2016-2020 Blue Book,
Harrison,Constable (D-2),Paul Johnson," 1620 23rd Ave., Gulfport 39501",(228) 865-4278,,,,,,,2016-2020 Blue Book,
Harrison,Constable (D-3),Alan Weatherford," 1620 23rd Ave., Gulfport 39501",(228) 865-4278,,,,,,,2016-2020 Blue Book,
Harrison,Constable (D-4),Sammie Taylor," 1620 23rd Ave., Gulfport 39501",(228) 865-4278,,,,,,,2016-2020 Blue Book,
Harrison,Constable (D-5),Jeff Migues," 190 Lameuse St., Biloxi 39530",(228) 435-8289,,,,,,,2016-2020 Blue Book,
Hinds,Constable (D-1),Jerry Moore,"P.O. Box 3490, Jackson 39207",(601) 965-8800,,,,,,,2016-2020 Blue Book,
Hinds,Constable (D-2),John Brown,"P.O. Box 3490, Jackson 39207",(601) 965-8800,,,,,,,2016-2020 Blue Book,
Hinds,Constable (D-3),Lawrence Funchess," P.O. Box 3490, Jackson 39207",(601) 965-8800,,,,,,,2016-2020 Blue Book,
Hinds,Constable (D-4),Leon Seals,"P.O. Box 3490, Jackson 39207",(601) 965-8800,,,,,,,2016-2020 Blue Book,
Hinds,Constable (D-5),Bennie C. Buckner," P.O. Box 3490, Jackson 39207",(601) 965-8800,,,,,,,2016-2020 Blue Book,
Holmes,Constable (D-1),Sharkey Ford,"P.O. Box 99, Lexington 39095",(662) 834-4565,(662) 834-1402,,,,,,2016-2020 Blue Book,
Holmes,Constable (D-2),Willie Anderson,"P.O. Box 99, Lexington 39095",(662) 934-4565,(662) 834-1402,,,,,,2016-2020 Blue Book,
Humphreys,Constable (ND),Bruce Williams,"102 Castleman St., Belzoni 39038",(662) 247-4337,(662) 247-3906,,,,,,2016-2020 Blue Book,
Humphreys,Constable (SD),Andrew Piper Dent," 102 Castleman St., Belzoni 39038",(662) 247-4337,(662) 247-3906,,,,,,2016-2020 Blue Book,
Issaquena,Constable (Post 1),Robert T. Williams," P.O. Box 58, Mayersville 39113",(662) 873-6287,(662) 873-2094,,,,,,2016-2020 Blue Book,
Issaquena,Constable (Post 2),Matthew Williams,"P.O. Box 58, Mayersville 39113",(662) 873-6287,(662) 873-2094,,,,,,2016-2020 Blue Book,
Itawamba,Constable (ED),Terry Johnson," 141 Houston Lake Rd., Fulton 38843",(662) 891-1898,(662) 862-5805,,,,,,2016-2020 Blue Book,
Itawamba,Constable (WD),Doug Lesley," 5791 Dorsey Evergreen St., Fulton 38843.. (662) 862-3401",f(662) 862-3175,(662) 862-3175,,,,,,2016-2020 Blue Book,
Jackson,Constable (D-1),Ty Thompson,"5343 Jefferson Ave., Moss Point 39563.(228) 769-3080",,,,,,,,2016-2020 Blue Book,
Jackson,Constable (D-2),Calvin Hutchins,"5343 Jefferson Ave., Moss Point 39563.(228) 769-3080",,,,,,,,2016-2020 Blue Book,
Jackson,Constable (D-3),K. Shane Langfitt,"5343 Jefferson Ave., Moss Point 39563.(228) 769-3080",,,,,,,,2016-2020 Blue Book,
Jackson,Constable (D-4),Kerry B. Fountain,"5343 Jefferson Ave., Moss Point 39563.(228) 769-3080",f(228) 769-3489,(228) 769-3489,,,,,,2016-2020 Blue Book,
Jasper,Constable (D-1),Greg Terrell,"4034 Hwy. 528, Heidelberg 39439",(601) 727-3489,(601) 727-3489,,,,,,2016-2020 Blue Book,
Jasper,Constable (D-2),Keith Barlow,"P.O. Box 1054, Bay Springs 39422",(601) 764-2065,(601) 764-3402,,,,,,2016-2020 Blue Book,
Jefferson,Constable (ED),James E. Bailey,"P.O. Box 553, Fayette 39069",(601) 786-8594,(601) 786-6017,,,,,,2016-2020 Blue Book,
Jefferson,Constable (WD),Carl Bailey,"P.O. Box 553, Fayette 39069",(601) 786-8594,(601) 786-6017,,,,,,2016-2020 Blue Book,
Jefferson davis,Constable (Post 1),Zack Jackson,"P.O. Box 1407, Prentiss 39474",(601) 792-5129,(601) 792-5980,,,,,,2016-2020 Blue Book,
Jefferson davis,Constable (Post 2),Harold Rhodes,"P.O. Box 1407, Prentiss 39474",(601) 792-5129,(601) 792-5980,,,,,,2016-2020 Blue Book,
Jones,Constable (D-1),Mike Sumrall,"551 Buffalo Hills Rd., Ellisville 39437",(601) 335-3034,,,,,,,2016-2020 Blue Book,
Jones,Constable (D-2),Larry Strickland,"301 Indian Springs Rd., Laurel 39443.. (601) 319-1857",,,,,,,,2016-2020 Blue Book,
Jones,Constable (D-3),David Livingston,"578 Township Rd., Laurel 39443",(601) 340-1157,,,,,,,2016-2020 Blue Book,
Kemper,Constable (Post 1),Ray (R.C.) Williams," 289 Terry Rd., Lauderdale 39335",(601) 743-2793,(601) 743-2789,,,,,,2016-2020 Blue Book,
Kemper,Constable (Post 2),Randall Thornton,"514 Blackwater Rd., Daleville 39326",(601) 743-2793,(601) 743-2789,,,,,,2016-2020 Blue Book,
Lafayette,Constable (CD),Jody Mayfield,"713 Jackson Ave., Oxford 38655",(662) 234-0727,(662) 238-7990,,,,,,2016-2020 Blue Book,
Lafayette,Constable (ND),Greg Pettis,"713 Jackson Ave., Oxford 38655",(662) 234-1545,(662) 238-7990,,,,,,2016-2020 Blue Book,
Lafayette,Constable (SD),Jack Theobald,"713 Jackson Ave., Oxford 38655",(662) 234-1545,(662) 238-7990,,,,,,2016-2020 Blue Book,
Lamar,Constable (D-1),Wayne Hale," P.O. Box 1010, Purvis 39475",(601) 794-2950,(601) 794-1076,,,,,,2016-2020 Blue Book,
Lamar,Constable (D-2),Chance Curry," P.O. Box 1010, Purvis 39475",(601) 794-2950,(601) 794-1076,,,,,,2016-2020 Blue Book,
Lamar,Constable (D-3),Danny Edwards," P.O. Box 1010, Purvis 39475",(601) 794-2950,(601) 794-1076,,,,,,2016-2020 Blue Book,
Lauderdale,Constable (D-1),Tommie L. Coker,"4205 50th St., Meridian 39305",(601) 693-4023,(601) 482-9813,,,,,,2016-2020 Blue Book,
Lauderdale,Constable (D-2),Ondray M. Harris Sr,"724-B Ponta St., Marion 39342",(601) 482-9877,(601) 482-9813,,,,,,2016-2020 Blue Book,
Lauderdale,Constable (D-3),Mike Myers,"5636 Blind Brown Rd., Bailey 39320-9707",(601) 737-5677,(601) 482-9813,,,,,,2016-2020 Blue Book,
Lauderdale,Constable (D-4),Lee (Chuck) Roberts Jr,"1069 Lee Roberts Rd. S., Meridian 39301",(601) 482-0261,(601) 482-9813,,,,,,2016-2020 Blue Book,
Lawrence,Constable (D-1),Cliff Butler," P.O. Box 903, Monticello 39654",(601) 587-4854,(601) 587-0755,,,,,,2016-2020 Blue Book,
Lawrence,Constable (D-2),Ryan Everett," P.O. Box 903, Monticello 39654",(601) 587-4854,(601) 587-0755,,,,,,2016-2020 Blue Book,
Leake,Constable (ED),Steven McMillon," P.O. Box 69, Carthage 39051",(601) 267-5677,(601) 267-6134,,,,,,2016-2020 Blue Book,
Leake,Constable (WD),Randy Atkinson," P.O. Box 69, Carthage 39051",(601) 267-5677,(601) 267-6134,,,,,,2016-2020 Blue Book,
Lee,Constable (D-1),Joe Huckaby,"P.O. Box 108, Tupelo 38802",(662) 432-2502,,,,,,,2016-2020 Blue Book,
Lee,Constable (D-2),Ted Wood,"P.O. Box 108, Tupelo 38802",(662) 432-2502,,,,,,,2016-2020 Blue Book,
Lee,Constable (D-3),Phil Gann,"P.O. Box 108, Tupelo 38802",(662) 432-2502,,,,,,,2016-2020 Blue Book,
Lee,Constable (D-4),Tom Henry Lyles,"P.O. Box 108, Tupelo 38802",(662) 432-2502,,,,,,,2016-2020 Blue Book,
Leflore,Constable (CD),Vonzell Self,"P.O. Box 8056, Greenwood 38935",(662) 453-1605,(662) 455-8759,,,,,,2016-2020 Blue Book,
Leflore,Constable (ND),Steve Pernell,"P.O. Box 8056, Greenwood 38935",(662) 453-1605,(662) 455-8759,,,,,,2016-2020 Blue Book,
Leflore,Constable (SD),Andrew McQueen,"P.O. Box 8056, Greenwood 38935",(662) 453-1605,(662) 455-8759,,,,,,2016-2020 Blue Book,
Lincoln,Constable (Post 1),Kelly Porter," P.O. Box 767, Brookhaven 39602",(601) 835-3474,(601) 835-3494,,,,,,2016-2020 Blue Book,
Lincoln,Constable (Post 2),W. Lavon Boyd," P.O. Box 767, Brookhaven 39602",(601) 835-3474,(601) 835-3494,,,,,,2016-2020 Blue Book,
Lowndes,Constable (D-1),Willie (Hoot) West," 11 Airline Rd., Columbus 39702",(662) 329-5929,(662) 245-4619,,,,,,2016-2020 Blue Book,
Lowndes,Constable (D-2),Joe F. Ables,"11 Airline Rd., Columbus 39702",(662) 329-5929,(662) 245-4619,,,,,,2016-2020 Blue Book,
Lowndes,Constable (D-3),Willie (Sonny) Sanders," 11 Airline Rd., Columbus 39702",(662) 329-5929,(662) 245-4619,,,,,,2016-2020 Blue Book,
Madison,Constable (D-1),Michael Brown,"2961 South Liberty St., Canton 39046",(601) 859-6337,(601) 859-5878,,,,,,2016-2020 Blue Book,
Madison,Constable (D-2),Johnny Sims,"2961 South Liberty St., Canton 39046",(601) 859-6337,(601) 859-5878,,,,,,2016-2020 Blue Book,
Madison,Constable (D-3),Will Weisenberger Jr," 2961 South Liberty St., Canton 39046",(601) 859-6337,(601) 859-5878,,,,,,2016-2020 Blue Book,
Madison,Constable (D-4),Brad Harbour,"2961 South Liberty St., Canton 39046",(601) 859-6337,(601) 859-5878,,,,,,2016-2020 Blue Book,
Marion,Constable (D-1),Brian Foxworth," 500 Courthouse Sq., Columbia 39429",(601) 736-2572,(601) 736-2580,,,,,,2016-2020 Blue Book,
Marion,Constable (D-2),Robbie Gill," 500 Courthouse Sq., Columbia 39429",(601) 736-2572,(601) 736-2580,,,,,,2016-2020 Blue Book,
Marshall,Constable (ND),Michael Perkins,"108 Whitten Rd., Holly Springs 38635",(662) 306-3111,,,,,,,2016-2020 Blue Book,
Marshall,Constable (SD),Don Cothern,"P.O. Box 5125, Holly Springs 38634",(662) 252-4120,,,,,,,2016-2020 Blue Book,
Monroe,Constable (D-1),Patrick Chism,"60018 Indian Cr., Smithville 38870",(662) 315-2349,(662) 256-7876,,,,,,2016-2020 Blue Book,
Monroe,Constable (D-2),Ron West,"40547 Lackey Rd., Hamilton 39746",(662) 369-4934,(662) 256-7876,,,,,,2016-2020 Blue Book,
Monroe,Constable (D-3),Herbert Harris Jr,"P512 S. Matubba St., Aberdeen 39370",(662) 369-6087,(662) 256-7876,,,,,,2016-2020 Blue Book,
Montgomery,Constable (D-1),L.C. Smith Jr,"206 Moore St., Duck Hill 38925",(662) 565-2916,(662) 283-2052,,,,,,2016-2020 Blue Book,
Montgomery,Constable (D-2),Jerry Dale Bridges,"20 Bridges Rd., Kilmichael 39747",(662) 283-7524,(662) 283-2052,,,,,,2016-2020 Blue Book,
Neshoba,Constable (Place 1),Paul Payne," 200 Byrd Ave., Philadelphia 39350",(601) 656-7968,,,,,,,2016-2020 Blue Book,
Neshoba,Constable (Place 2),Ken Spears," 200 Byrd Ave., Philadelphia 39350",(601) 656-5935,(601) 656-6482,,,,,,2016-2020 Blue Book,
Newton,Constable (D-1),Mark Spence," P.O. Box 69, Decatur 39327",(601) 635-2740,(601) 635-4047,,,,,,2016-2020 Blue Book,
Newton,Constable (D-2),Donny Collins," P.O. Box 69, Decatur 39327",(601) 635-2740,(601) 635-4047,,,,,,2016-2020 Blue Book,
Noxubee,Constable (ND),Frank Draper Jr,"P.O. Box 550, Macon 39341",(662) 726-5181,(662) 726-2944,,,,,,2016-2020 Blue Book,
Noxubee,Constable (SD),Derone Mosley,"P.O. Box 550, Macon 39341",(662) 726-5834,(662) 726-2944,,,,,,2016-2020 Blue Book,
Oktibbeha,Constable (D-1),Shank Phelps," 2312 Douglastown Rd., Maben 39750",(601) 324-3032,,,,,,,2016-2020 Blue Book,
Oktibbeha,Constable (D-2),Curtis D. Randle," 2790 Harris Rd., Starkville 39579",(601) 324-3032,,,,,,,2016-2020 Blue Book,
Oktibbeha,Constable (D-3),James E. Lindsey," 3949 Hwy. 25 S., Sturgis 39759",(601) 324-3032,,,,,,,2016-2020 Blue Book,
Panola,Constable (Post 1),Eric Harris,"P.O. Box 249, Sardis 38666",(662) 487-2080,(662) 487-2008,,,,,,2016-2020 Blue Book,
Panola,Constable (Post 2),Ray Hawkins,"P.O. Box 325, Batesville 38606",(662) 563-4193,(662) 487-2008,,,,,,2016-2020 Blue Book,
Pearl river,Constable (ND),Danny Joe Slade,"169 Savannah-Millard Rd., Ste. A, Poplarville 39470",(601) 403-2500,(601) 403-2553,,,,,,2016-2020 Blue Book,
Pearl river,Constable (SeD),Ray Bennett,"169 Savannah-Millard Rd., Ste. A, Poplarville 39470",(601) 403-2500,(601) 403-2553,,,,,,2016-2020 Blue Book,
Pearl river,Constable (SwD),Jason Hunt,"169 Savannah-Millard Rd., Ste. A, Poplarville 39470",(601) 403-2500,(601) 403-2553,,,,,,2016-2020 Blue Book,
Perry,Constable (D-1),Guy A. Harvison,"12 Hubert Edwards Dr., Richton 39476",(601) 964-8366,(601) 964-8368,,,,,,2016-2020 Blue Book,
Perry,Constable (D-2),Wayne Penton,"P.O. Box 344, Beaumont 39423",(601) 964-8366,,,,,,,2016-2020 Blue Book,
Pike,Constable (CD),Billy Young,"P.O. Box 509, Magnolia 39652",(601) 783-5333,(601) 783-4181,,,,,,2016-2020 Blue Book,
Pike,Constable (ND),Denny Johnson,"P.O. Box 509, Magnolia 39652",(601) 783-5333,(601) 783-4181,,,,,,2016-2020 Blue Book,
Pike,Constable (SD),Oliver James,"P.O. Box 509, Magnolia 39652",(601) 783-5333,(601) 783-4181,,,,,,2016-2020 Blue Book,
Pontotoc,Constable (ED),Tommy Corbin,"29 E. Washington, Pontotoc 38863",(662) 489-3921,(662) 489-2986,,,,,,2016-2020 Blue Book,
Pontotoc,Constable (WD),L. D. Gillespie,"29 E. Washington, Pontotoc 38863",(662) 489-3921,(662) 489-2986,,,,,,2016-2020 Blue Book,
Prentiss,Constable (ND),Sammy D. Henderson," 1901-C E. Chambers Dr., Booneville 38829",(662) 728-2001,(662) 728-2009,,,,,,2016-2020 Blue Book,
Prentiss,Constable (SD),Harry Allen," 1901-C E. Chambers Dr., Booneville 38829",(662) 728-2001,(662) 728-2009,,,,,,2016-2020 Blue Book,
Quitman,Constable (D-1),Tyrone Survillion,"P.O. Box 100, Marks 38646",(662) 326-2104,(662) 326-8004,,,,,,2016-2020 Blue Book,
Quitman,Constable (D-2),Tommy Bryant,"P.O. Box 33, Crowder 38622",(662) 326-2104,(662) 326-2330,,,,,,2016-2020 Blue Book,
Rankin,Constable (D-1),Von Brown," P.O. Box 71, Brandon 39043",(601) 939-1885,(601) 824-2668,,,,,,2016-2020 Blue Book,
Rankin,Constable (D-2),Brad Patridge," P.O. Box 71, Brandon 39043",(601) 939-1885,(601) 824-2668,,,,,,2016-2020 Blue Book,
Rankin,Constable (D-3),Barry Bean," P.O. Box 71, Brandon 39043",(601) 540-1114,(601) 824-2668,,,,,,2016-2020 Blue Book,
Rankin,Constable (D-4),Gary Windham," P.O. Box 71, Brandon 39043",(601) 613-2328,(601) 824-2668,,,,,,2016-2020 Blue Book,
