county,position,name,address,phone,fax,alt_address,alt_phone,alt_fax,mobile,email,source,verified
Pontotoc,Tax Assessor,Van McWhirter,"11 E. Washington St., Pontotoc 38863",(662) 489-3904,(662) 489-3917,,,,,,2016-2020 Blue Book,
Forrest,Tax Assessor,Mary Ann Palmer," P.O. Box 1626, Hattiesburg 39403",(601) 545-6130,(601) 545-6180,,,,,,2016-2020 Blue Book,
Yazoo,Tax Assessor,Beverly S. Ladner,"P.O. Box 108, Yazoo City 39194",(662) 746-2642,(662) 751-8734,,,,,,2016-2020 Blue Book,
Amite,Tax Assessor,Eunice Blake,"P.O. Box 356, Liberty 39645",(601) 657-8973,(601) 657-1083,,,,,,2016-2020 Blue Book,
Pike,Tax Assessor,Laurie Allen,"P.O. Box 111, Magnolia 39652",(601) 783-5511,(601) 783-3784,,,,,,2016-2020 Blue Book,
Lawrence,Tax Assessor,Sherry Hyde-Thames," P.O. Box 812, Monticello 39654",(601) 587-4543,(601) 587-0750,,,,,,2016-2020 Blue Book,
Sunflower,Tax Assessor,Cynthia Chandler," P.O. Box 1080, Indianola 38751",(662) 887-1454,(662) 887-7423,,,,,,2016-2020 Blue Book,
Union,Tax Assessor,Randy Dunnam," P.O. Box 862, New Albany 38652",(662) 534-1972,(662) 534-1971,,,,,,2016-2020 Blue Book,
Lee,Tax Assessor,Mark Weathers,"201 W. Jefferson, Ste. A, Tupelo 38804.. (662) 432-2700",f(662) 680-6003,(662) 680-6003,,,,,,2016-2020 Blue Book,
Attala,Tax Assessor,Brenda Williams," 112 N. Wells St., Kosciusko 39090",(662) 289-5731,(662) 289-7667,,,,,,2016-2020 Blue Book,
Jasper,Tax Assessor,Timothy McRee,"P.O. Box 8, Paulding 39348",(601) 727-4971,(601) 727-3469,"P.O. Box 372, Bay Springs 39422",(601) 764-2813,(601) 764-6519,,,2016-2020 Blue Book,
Benton,Tax Assessor,Shannon Wilburn," P.O. Box 337, Ashland 38603",(662) 224-6315,(662) 224-6303,,,,,,2016-2020 Blue Book,
Jefferson davis,Tax Assessor,Kelley R. Brown,"P.O. Box 547, Prentiss 39474",(601) 792-4291,(601) 792-2276,,,,,,2016-2020 Blue Book,
Desoto,Tax Assessor,Parker Pickle," 365 Losher St., Hernando 38632",(662) 469-8029,(662) 469-8201,,,,,,2016-2020 Blue Book,
