Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin SF (RRD),Flowood TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Tallahatchie County,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,094",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,0,0,62,58,93,93,178,28,50,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"5,000","1,000","1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"23,670"
1-Jun-20,"2,007","3,309",18,0,"2,456","1,555",559,0,0,88,3,72,0,51,0,0,0,0,51,36,73,49,127,9,0,0,0,0,"3,987",286,266,247,295,311,257,286,254,294,234,368,261,130,229,269,"3,011",749,"1,201",968,0,842,0,0,0,0,1,1,0,0,0,0,"16,903"
2-Jun-20,"2,005","3,288",18,0,"2,451","1,556",558,0,0,87,3,72,0,51,0,0,0,0,51,36,73,49,127,9,0,0,0,0,"3,984",286,266,246,294,311,257,286,254,294,233,368,261,130,229,269,"3,009",748,"1,199",968,0,842,0,0,0,0,0,0,0,0,0,0,"16,869"
3-Jun-20,"2,007","3,268",17,0,"2,446","1,576",573,0,0,87,18,72,0,51,0,0,0,0,51,36,73,49,127,9,0,0,0,0,"3,978",285,265,246,294,310,257,286,254,294,232,366,261,130,229,269,"3,007",744,"1,198",967,0,842,0,0,0,0,"3,004",0,0,0,0,0,"19,876"
4-Jun-20,"2,004","3,267",18,0,"2,445","1,594",573,0,0,100,18,47,0,51,0,0,0,0,51,48,73,49,127,9,0,0,0,0,"3,977",285,265,245,294,310,257,286,254,294,232,366,261,130,229,269,"3,006",744,"1,198",966,0,842,0,0,0,0,0,0,0,0,0,0,"16,884"
5-Jun-20,"2,004","3,259",18,0,"2,443","1,625",525,0,0,100,18,47,0,0,0,0,0,0,44,58,73,49,127,9,0,0,0,0,"3,976",285,265,245,294,310,257,286,254,294,232,365,261,130,229,269,"3,004",743,"1,197",965,0,842,0,0,0,0,0,0,0,0,0,0,"16,854"
6-Jun-20,"2,004","3,258",18,0,"2,442","1,625",525,0,0,100,18,47,0,0,0,0,0,0,44,58,73,49,127,9,0,0,0,0,"3,973",285,264,244,294,310,257,286,253,294,232,365,261,130,229,269,"3,004",743,"1,197",965,0,842,0,0,0,0,0,0,0,0,0,0,"16,849"
7-Jun-20,"2,004","3,259",18,0,"2,442","1,625",515,0,0,100,18,47,0,0,0,0,0,0,44,48,73,49,127,9,0,0,0,0,"3,973",285,264,244,294,310,257,286,253,294,232,365,261,130,229,269,"3,004",743,"1,197",965,0,842,0,0,0,0,0,0,0,0,0,0,"16,840"
8-Jun-20,"2,001","3,260",18,0,"2,440","1,621",514,0,0,100,18,47,0,0,0,0,0,0,43,48,73,49,127,9,0,0,0,0,"3,967",285,264,244,294,310,257,285,253,293,231,364,261,129,229,268,"3,001",743,"1,195",965,0,841,0,0,0,0,0,0,0,0,0,0,"16,822"
9-Jun-20,"1,996","3,214",18,0,"2,438","1,626",563,0,0,143,18,47,0,0,0,0,0,0,50,48,73,49,125,10,0,0,0,0,"3,965",285,264,244,294,310,257,284,253,293,231,364,261,129,228,268,"2,999",743,"1,194",964,0,841,0,0,0,0,0,0,0,0,0,0,"16,819"
