"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,335","1,317","3,006","5,658"
"CMCF","999","1,087","1,023","3,109"
"SMCI","684","679","739","2,102"
"County Jails (approved)","793","697","262","1,752"
"County Jails (unapproved)","82","89","37","208"
"Private Prisons","691","983","1,789","3,463"
"Regional Correctional Facilities","912","626","1,226","2,764"
"Community Work Centers","861","641","6","1,508"
"Community Trusties","10","7","5","22"
"CUSTODY POPULATION","6,367","6,126","8,093","20,586"
"Intensive Supervison Program","453","822","36","1,311"
"Earned Release Supervision","544","498","243","1,285"
"Medical Release","0","0","0","0"
"Other Custody","72","83","70","225"
"At Large","59","77","27","163"
"University of MS Medical Center","1","0","0","1"
"TOTAL","7,496","7,606","8,469","23,571"
"% of Total Offenses","31.80%","32.27%","35.93%","100.00%"
