"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","756","761","164","1,187","470","3,338"
"CMCF","871","1,013","154","800","318","3,156"
"SMCI","696","801","184","1,007","531","3,219"
"Youthful Offender Facility","0","4","0","17","5","26"
"County Jails (approved)","784","643","17","64","32","1,540"
"County Jails (unapproved)","137","200","13","34","13","397"
"Private Prisons","482","868","282","2,074","608","4,314"
"Regional Correctional Facilities","950","1,125","308","1,179","789","4,351"
"Community Work Centers","924","594","0","4","0","1,522"
"Community Trusties","6","6","0","0","0","12"
"Pending File Review","1","8","0","5","3","67"
"Court Order","126","148","9","40","16","339"
"TOTAL CUSTODY POPULATION","5,773","6,181","1,131","6,411","2,785","22,281"
"% OF TOTAL_offenses","25.91%","27.74%","5.08%","28.77%","12.50%","100.00%"
"Intensive Supervison Program","721","776","17","46","6","1,566"
"Earned Release Supervision","495","539","194","390","6","1,624"
"Medical Release","12","8","2","5","0","27"
"Other Custody","206","173","12","67","0","478"
"At Large","7","20","0","7","0","34"
"Off-Grounds Medical (Hospital)","1","5","0","5","0","11"
"TOTAL","7,215","7,702","1,356","6,931","2,817","26,021"
"% OF TOTAL_offenses","27.73%","29.60%","5.21%","26.64%","10.83%","100.00%"
