"location","drug_offenses","NON-violent_offenses","sex_offenses","violent_offenses","total"
"MSP","406","372","574","1909","3261"
"CMCF","915","896","331","1397","3539"
"SMCI","460","406","503","1285","2654"
"Youthful Offender Facility","0","7","2","26","35"
"County Jails (approved)","382","181","9","182","754"
"County Jails (unapproved)","110","155","16","98","379"
"Private Prisons","247","245","551","2080","3123"
"Regional Correctional Facilities","737","541","822","2122","4222"
"Community Work Centers","397","149","0","119","665"
"Community Trusties","6","0","0","1","7"
"Pending File Review","15","32","4","23","74"
"Court Order","82","87","12","90","271"
"Transitional Housing","5","10","1","9","25"
"RRP","27","38","0","11","76"
"TVC","45","11","0","18","74"
"TOTAL CUSTODY POPULATION","3834","3130","2825","9370","19159"
"% OF TOTAL_offenses","20.01%","16.34%","14.75%","48.91%","100.00%"
"Intensive Supervison Program","306","378","10","87","781"
"Earned Release Supervision","45","37","9","476","567"
"Medical Release","12","1","0","2","15"
"Other Custody","151","187","24","119","481"
"At Large","7","11","0","7","25"
"Conditional Release","0","0","0","3","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","3","2","0","2","7"
"TOTAL","4360","3749","2869","10066","21044"
"% OF TOTAL_offenses","20.72%","17.82%","13.63%","47.84%","100.00%"
