"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","623","571","194","1,448","549","3,385"
"CMCF","643","764","154","892","305","2,758"
"SMCI","486","549","158","1,058","541","2,792"
"County Jails (approved)","480","286","17","100","8","891"
"Youthful Offender Facility","0","3","5","17","5","30"
"County Jails (unapproved)","116","177","18","50","17","378"
"Private Prisons","495","559","271","1,930","681","3,936"
"Regional Correctional Facilities","613","623","274","1,237","672","3,419"
"Community Work Centers","660","302","1","40","0","1,003"
"Community Trusties","13","4","0","0","0","17"
"Pending File Review","26","0","2","8","2","78"
"Court Order","76","114","17","61","9","277"
"TOTAL CUSTODY POPULATION","4,231","3,992","1,111","6,841","2,789","18,964"
"% OF TOTAL_offenses","22.31%","21.05%","5.86%","36.07%","14.71%","100.00%"
"Intensive Supervison Program","363","376","6","50","5","800"
"Earned Release Supervision","272","64","143","372","4","855"
"Medical Release","6","4","0","2","0","12"
"Other Custody","176","221","16","84","26","523"
"At Large","6","14","0","6","0","26"
"Off-Grounds Medical (Hospital)","2","1","1","4","3","11"
"Conditional Release","0","0","0","2","0","2"
"TOTAL","5,056","4,672","1,277","7,361","2,827","21,193"
"% OF TOTAL_offenses","23.86%","22.05%","6.03%","34.73%","13.34%","100.00%"
