"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","593","558","180","1322","499","3152"
"CMCF","558","611","130","777","242","2318"
"SMCI","469","543","166","1037","496","2711"
"County Jails (approved)","337","184","14","45","5","585"
"Youthful Offender Facility","0","0","6","16","6","28"
"County Jails (unapproved)","130","168","19","62","19","398"
"Private Prisons","481","527","266","1879","647","3800"
"Regional Correctional Facilities","671","657","316","1454","865","3963"
"Community Work Centers","758","376","2","20","0","1156"
"Community Trusties","11","1","0","0","0","12"
"Pending File Review","22","5","1","9","0","67"
"Court Order","69","92","7","45","8","221"
"TOTAL CUSTODY POPULATION","4099","3752","1107","6666","2787","18411"
"% OF TOTAL_offenses","22.26%","20.38%","6.01%","36.21%","15.14%","100.00%"
"Intensive Supervison Program","367","426","9","54","5","861"
"Earned Release Supervision","242","66","141","368","5","822"
"Medical Release","7","5","0","2","0","14"
"Other Custody","185","228","17","89","6","545"
"At Large","6","14","0","7","0","27"
"Off-Grounds Medical (Hospital)","0","3","0","5","1","9"
"TOTAL","4906","4494","1274","7191","2824","20689"
"% OF TOTAL_offenses","23.71%","21.72%","6.16%","34.76%","13.65%","100.00%"
