"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","596","554","176","1281","496","3103"
"CMCF","563","630","123","739","248","2303"
"SMCI","469","585","137","866","463","2520"
"County Jails (approved)","469","241","17","55","9","791"
"Youthful Offender Facility","0","1","3","14","5","23"
"County Jails (unapproved)","7","100","10","32","17","226"
"Private Prisons","455","531","290","1952","653","3881"
"Regional Correctional Facilities","748","776","360","1443","871","4198"
"Community Work Centers","718","410","2","13","0","1143"
"Community Trusties","12","2","0","0","0","14"
"Pending File Review","24","2","3","19","2","80"
"Court Order","61","76","9","36","8","190"
"TOTAL CUSTODY POPULATION","4182","3938","1130","6450","2772","18472"
"% OF TOTAL_offenses","22.64%","21.32%","6.12%","34.92%","15.01%","100.00%"
"Intensive Supervison Program","438","544","8","43","5","1038"
"Earned Release Supervision","255","83","148","367","5","858"
"Medical Release","9","5","0","2","0","16"
"Other Custody","195","221","16","74","5","531"
"At Large","6","14","0","7","0","27"
"Off-Grounds Medical (Hospital)","2","2","1","3","1","9"
"TOTAL","5087","4807","1303","6946","2808","20951"
"% OF TOTAL_offenses","24.28%","22.95%","6.22%","33.16%","13.40%","100.00%"
