"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","578","541","192","1402","546","3259"
"CMCF","655","782","141","810","250","2638"
"SMCI","485","538","170","1044","480","2717"
"County Jails (approved)","384","221","17","55","10","687"
"Youthful Offender Facility","0","1","5","14","8","28"
"County Jails (unapproved)","118","164","24","82","22","410"
"Private Prisons","481","547","274","1909","682","3893"
"Regional Correctional Facilities","646","637","277","1351","785","3696"
"Community Work Centers","716","315","2","32","0","1065"
"Community Trusties","10","2","0","0","0","12"
"Pending File Review","27","26","3","8","0","64"
"Court Order","66","82","11","52","12","223"
"TOTAL CUSTODY POPULATION","4166","3856","1116","6759","2795","18692"
"% OF TOTAL_offenses","22.29%","20.63%","5.97%","36.16%","14.95%","100.00%"
"Intensive Supervison Program","338","388","8","55","5","794"
"Earned Release Supervision","254","61","146","379","3","843"
"Medical Release","7","3","0","3","0","13"
"Other Custody","180","215","17","91","26","529"
"At Large","6","14","0","6","0","26"
"Off-Grounds Medical (Hospital)","3","0","0","6","2","11"
"TOTAL","4954","4537","1287","7299","2831","20908"
"% OF TOTAL_offenses","23.70%","21.70%","6.16%","34.91%","13.54%","100.00%"
