"location","drug_offenses","NON-violent_offenses","sex_offenses","violent_offenses","total"
"MSP","413","341","544","1951","3249"
"CMCF","831","875","354","1428","3488"
"SMCI","483","377","480","1315","2655"
"Youthful Offender Facility","0","4","2","17","23"
"County Jails (approved)","391","170","12","161","734"
"County Jails (unapproved)","114","154","12","80","360"
"Private Prisons","260","255","540","2139","3194"
"Regional Correctional Facilities","715","613","860","2131","4319"
"Community Work Centers","361","128","0","102","591"
"Community Trusties","7","1","0","0","8"
"Pending File Review","24","26","0","17","67"
"Court Order","80","72","12","66","230"
"Transitional Housing","17","12","1","11","41"
"RRP","34","35","0","9","78"
"TVC","54","13","0","15","82"
"TOTAL CUSTODY POPULATION","3784","3076","2817","9442","19119"
"% OF TOTAL_offenses","19.79%","16.09%","14.73%","49.39%","100.00%"
"Intensive Supervison Program","329","383","13","101","826"
"Earned Release Supervision","41","40","10","472","563"
"Medical Release","8","2","0","4","14"
"Other Custody","164","179","27","130","500"
"At Large","6","11","0","7","24"
"Conditional Release","0","0","0","2","2"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","6","0","2","4","12"
"TOTAL","4340","3694","2870","10162","21066"
"% OF TOTAL_offenses","20.60%","17.54%","13.62%","48.24%","100.00%"
