"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","768","762","163","1177","492","3362"
"CMCF","855","1080","172","817","322","3246"
"SMCI","681","813","181","1038","524","3237"
"County Jails (approved)","794","665","25","57","24","1565"
"Youthful Offender Facility","0","7","0","24","3","34"
"County Jails (unapproved)","144","194","18","30","16","402"
"Private Prisons","530","931","283","2042","611","4397"
"Regional Correctional Facilities","972","1118","302","1229","807","4428"
"Community Work Centers","848","552","2","2","0","1404"
"Community Trusties","7","4","0","0","0","11"
"Pending File Review","33","37","3","6","2","81"
"Court Order","131","153","11","43","18","356"
"TOTAL CUSTODY POPULATION","5763","6316","1160","6465","2819","22523"
"% OF TOTAL_offenses","25.59%","28.04%","5.15%","28.70%","12.52%","100.00%"
"Intensive Supervison Program","669","785","14","45","7","1520"
"Earned Release Supervision","489","588","190","394","7","1668"
"Medical Release","11","6","1","5","0","23"
"Other Custody","203","170","11","72","3","479"
"At Large","7","17","0","7","0","31"
"Off-Grounds Medical (Hospital)","3","3","0","1","1","8"
"TOTAL","7145","7885","1376","6989","2857","26252"
"% OF TOTAL_offenses","27.22%","30.04%","5.24%","26.62%","10.88%","100.00%"
