"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","AGGRAVATED ASSAULT_offenses","total"
"MSP","473","463","1707","569","180","3392"
"CMCF","854","905","1069","298","155","3281"
"SMCI","422","465","1135","472","151","2645"
"County Jails (approved)","359","175","109","3","12","658"
"Youthful Offender Facility","0","2","17","6","4","29"
"County Jails (unapproved)","114","155","78","19","15","381"
"Private Prisons","294","367","1782","555","208","3206"
"Regional Correctional Facilities","706","687","1714","877","335","4319"
"Community Work Centers","378","171","102","0","0","651"
"Community Trusties","27","9","7","0","0","43"
"Pending File Review","25","29","23","1","4","82"
"Court Order","77","74","61","7","8","227"
"Transitional Housing","15","9","11","0","2","37"
"RRP","40","50","10","0","1","101"
"TVC","0","0","0","0","0","0"
"TOTAL CUSTODY POPULATION","3784","3561","7825","2807","1075","19052"
"% OF TOTAL_offenses","19.86%","18.69%","41.07%","14.73%","5.64%","100.00%"
"Intensive Supervison Program","334","318","75","3","13","743"
"Earned Release Supervision","88","40","318","5","114","565"
"Medical Release","9","2","2","0","0","13"
"Other Custody","146","179","87","28","10","450"
"At Large","8","15","6","0","0","29"
"Conditional Release","0","0","2","1","0","3"
"FTR- Monitoring","2","3","0","0","0","5"
"Off-Grounds Medical (Hospital)","5","1","3","7","0","16"
"TOTAL","4376","4119","8318","2851","1212","20876"
"% OF TOTAL_offenses","20.96%","19.73%","39.85%","13.66%","5.81%","100.00%"
